If you have any questions or corrections please email Franklin (ffein@stanford.edu),,Please let us know which metrics you found most useful and suggestions for more! https://forms.gle/U7cqAyRm2huJCn3a7,,,,,Last updated: 6/1/2021,,,,,,,,,,,
Assession Number,Dataset URL,Dataset name,Dataset made public (MM/DD/YYYY),Most recent snapshot date (MM/DD/YYYY),# of subjects,Modalities available?,DX status(es),Ages (range),Tasks completed?,# of trials (if applicable),Study design,Domain studied,Longitudinal?,Processed data?,Species?,DOI of paper associated with DS (from submitter lab),DOI of paper because DS on OpenNeuro,"Senior Author (lab that collected data) Last, First"
ds000234,https://openneuro.org/datasets/ds000234/versions/00002,Whole-brain background-suppressed pCASL MRI with 1D-accelerated 3D RARE Stack-Of-Spirals Readout- Dataset 1,7/16/2018,7/16/2018,5,"MRI - anat, MRI - func, ASL",Healthy/Control,"26-34, 51-65",rest,,,scan sequence development,No,No,Human,10.1371/journal.pone.0183762,,"Detre, John"
ds000235,https://openneuro.org/datasets/ds000235/versions/00002,Whole-brain background-suppressed pCASL MRI with 1D-accelerated 3D RARE Stack-Of-Spirals Readout- Dataset 2,7/16/2018,7/16/2018,4,"MRI - anat, MRI - func, ASL",Healthy/Control,"18-25, 26-34, 51-65",rest,,,scan sequence development,No,No,Human,10.1371/journal.pone.0183762,,"Detre, John"
ds000236,https://openneuro.org/datasets/ds000236/versions/00002,Whole-brain background-suppressed pCASL MRI with 1D-accelerated 3D RARE Stack-Of-Spirals Readout- Dataset 3,7/16/2018,7/16/2018,18,"MRI - anat, MRI - func, ASL","Healthy/Control, elderly","51-65, 66+",rest,,,Scan sequence development,No,No,Human,10.1371/journal.pone.0183762,,"Detre, John"
ds000237,https://openneuro.org/datasets/ds000237/versions/1.0.0,Phonological memory in sign language relies on the visuomotor neural system outside the left hemisphere language network,7/17/2018,5/14/2019,13,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50, 51-65",MemorySpan,,,"sign language, language development",No,Yes,Human,10.1371/journal.pone.0177599,,"Omori, Koichi"
ds000238,https://openneuro.org/datasets/ds000238/versions/00002,Trial timing for multivariate pattern analysis,7/17/2018,7/17/2018,35,"MRI - anat, MRI - func, beh",Healthy/Control,"18-25, 26-34","Med8, Quick4n, Quick6, Slow10, Slow12",,,experimental design optimization,No,No,Human,10.1016/j.neuroimage.2017.04.025,,"Zeithamova-Demircan, Dasa"
ds000239,https://openneuro.org/datasets/ds000239/versions/00001,Maclaren test-retest brain volume dataset,7/17/2018,7/17/2018,3,MRI - anat,Healthy/Control,26-34,,,test-retest dataset,test-retest dataset,No,No,Human,10.1038/sdata.2014.37,,"Bammer, Roland"
ds000240,https://openneuro.org/datasets/ds000240/versions/00002,Resting State Perfusion in Healthy Aging,7/16/2018,7/16/2018,63,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50, 51-65, 66+",rest,,,resting state perfusion,No,Yes,Human,http://archive.ismrm.org/2017/3637.html,,"Fernandez-Seara, Maria"
ds000241,https://openneuro.org/datasets/ds000241/versions/00002,AK6,7/16/2018,7/16/2018,12,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",viewing species ,42,,biological class representation,No,Yes,Human,10.1523/JNEUROSCI.5547-11.2012,,"Haxby, James"
ds000243,https://openneuro.org/datasets/ds000243/versions/00001,Washington University 120,7/17/2018,7/17/2018,120,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",rest,,head motion correction,head motion correction,No,Yes,Human,10.1371/journal.pone.0182939,10.1073/pnas.1902932116,"Martin, Alex"
ds000244,https://openneuro.org/datasets/ds000244/versions/1.0.0,Individual Brain Charting,7/18/2018,9/14/2018,12,"MRI - anat, MRI - func, MRI - dwi, FieldMap",Healthy/Control,"26-34, 35-50","archi emotional, archi social, archi spatial, archi standard, clips watching, retinotopy, HCP emotion, HCP gambling, HCP langage, HCP motor, HCP relational, HCP social, HCP WM, RSVP language",,,"perceptual, motor, higher-level cognitive functions",Yes,No,Human,10.1038/sdata.2018.105,,"Thirion, Bertrand"
ds000245,https://openneuro.org/datasets/ds000245/versions/00001,ds000245_R1.0.0,7/17/2018,7/17/2018,45,"MRI - anat, MRI - func","Healthy/Control, Parkinson's Disease ","51-65, 66+",rest,,,hyposmia,No,No,Human,10.1371/journal.pone.0190072,,"Sobue, Gen"
ds000246,https://openneuro.org/datasets/ds000246/versions/00001,MEG-BIDS Brainstorm data sample,7/17/2018,7/17/2018,2,"MRI - anat, MEG",,18-25,,,MEG-BIDS Brainstorm data sample,MEG-BIDS Brainstorm data sample,No,No,Human,10.1155/2011/879716,,"Baillet, Sylvain"
ds000247,https://openneuro.org/datasets/ds000247/versions/00002,OMEGA_RestingState_sample,7/17/2018,7/17/2018,6,"MRI - anat, MEG",,"18-25, 26-34",,,OMEGA sample,OMEGA sample,No,Yes,Human,10.1016/j.neuroimage.2015.04.028,,"Baillet, Sylvain"
ds000248,https://openneuro.org/datasets/ds000248/versions/00001,ds000248,7/16/2018,7/16/2018,1,"MRI - anat, MEG",,,,,"Educational purpose, train MNE users","Educational purpose, train MNE users",No,Yes,Human,"10.1016/j.neuroimage.2013, 10.3389/fnins.2013.00267",,"Hämäläinen, Matti"
ds000249,https://openneuro.org/datasets/ds000249/versions/00002,Value generalization in human avoidance learning,7/16/2018,7/16/2018,26,"MRI - anat, MRI - func, FieldMap",,"18-25, 26-34, 35-50",Generalisation of Instrumental Avoidance Task,38,,avoidance learning,No,Yes,Human,,,"Seymour, Ben"
ds000253,https://openneuro.org/datasets/ds000253/versions/00002,Female action video game players.,7/17/2018,7/17/2018,20,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50",visuomotor task,,female action video game players ,"visuospatial, attention-related skills",No,Yes,Human,10.1371/journal.pone.0189110,,"Sergio, Lauren"
ds000254,https://openneuro.org/datasets/ds000254/versions/00002,ds000254_R1.0.0,7/17/2018,7/17/2018,13,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50",bilateral finger tapping,,novel sequence,novel sequence,No,No,Human,10.1371/journal.pone.0169253,,"Cohen, Alexander"
ds000255,https://openneuro.org/datasets/ds000255/versions/00002,Visual image reconstruction,7/16/2018,7/16/2018,2,"MRI - anat, MRI - func",Healthy/Control,,"viewFigure, viewRandom",21,,visual image reconstruction,Yes,No,Human,10.1016/j.neuron.2008.11.004,,"Kamitani, Yukiyasu"
ds000256,https://openneuro.org/datasets/ds000256/versions/00002,Behavioral interventions for reducing head motion during MRI scans in children,7/16/2018,7/16/2018,24,"MRI - anat, MRI - func, FieldMap",Healthy/Control,"0-10, 11-17","restbaseline, restfixationadaptive, restfixationfixed, restfixationnofeedback, restmovieadaptive, restmoviefixed, restmovienofeedback",,,reducing head motion in children,No,Yes,Human,10.1016/j.neuroimage.2018.01.023,,"Dosenbach, Nico"
ds000258,https://openneuro.org/datasets/ds000258/versions/00002,Multi-echo Cambridge,7/16/2018,7/16/2018,89,"MRI - anat, MRI - func",Healthy/Control,,rest,,artifacts in multiecho datasets,artifacts in multiecho datasets,No,No,Human,10.1073/pnas.1720985115,,"Martin, Alex"
ds001021,https://openneuro.org/datasets/ds001021/versions/1.0.0,NKI-sample,7/13/2018,8/15/2018,1,"MRI - anat, MRI - func, MRI - dwi",Healthy/Control,51-65,"BREATH_HOLD_1400, CHECKERBOARD_1400, CHECKERBOARD_645, DMN_TRACKING_TEST, DMN_TRACKING_TRAIN, MASK, MORAL_DILEMMA, MSIT, PEER1, PEER2, REST_1400, REST_645, REST_CAP",,NKI_Sample,NKI_Sample,No,No,Human,,,"Milham, Michael"
ds001037,https://openneuro.org/datasets/ds001037/versions/00001,The brain of Chris,7/13/2018,7/13/2018,1,MRI - anat,Healthy/Control,26-34,,,Scan of Chris Gorgolewski's brain,,No,No,Human,,,"Poldrack, Russ"
ds001105,https://openneuro.org/datasets/ds001105/versions/00001,Social predictive coding,7/13/2018,7/13/2018,28,"MRI - anat, MRI - func, FieldMap",Healthy/Control,18-25,mental states,225,,"social psychology, predict other future mental states",No,No,Human,10.1523/JNEUROSCI.1431-18.2018,,"Tamir, Diana"
ds001107,https://openneuro.org/datasets/ds001107/versions/00001,Unnamed Dataset,7/13/2018,7/13/2018,0,,,,,,,,,,,,,
ds001110,https://openneuro.org/datasets/ds001110/versions/00003,Sherlock_Merlin,7/13/2018,7/13/2018,37,"MRI - anat, MRI - func, beh",Healthy/Control,"18-25, 26-34, 35-50",watching movie,,watched Merlin,"memory, mental construction",No,No,Human,10.1093/cercor/bhx202,,"Hasson, Uri"
ds001131,https://openneuro.org/datasets/ds001131/versions/00004,Milky-Vodka,7/14/2018,7/14/2018,54,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",audio story of milky or vodka,,listening to an audio story,narrative interpretations and changes,No,No,Human,10.1073/pnas.1701652114,,"Hasson, Uri"
ds001132,https://openneuro.org/datasets/ds001132/versions/1.0.0,Sherlock,7/14/2018,4/4/2019,16,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",movie watching,,watched Sherlock,shared experiences and memories,No,Yes,Human,10.1038/nn.4450,,"Hasson, Uri"
ds001145,https://openneuro.org/datasets/ds001145/versions/1.0.0,Twilight Zone Movie Watching Dataset,7/14/2018,4/4/2019,24,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",movie watching,,watching twilight zone,"memory, declarative memory ",No,No,Human,10.1093/cercor/bhv155,,"Hasson, Uri"
ds001161,https://openneuro.org/datasets/ds001161/versions/00001,data4openNeuroBOOST,4/26/2021,7/14/2018,2,"MRI - anat, MRI - func",,,"probeeffortmixedgambles, efforttraining, probabilitymixedgambles",,,,No,No,Human,,,"Schonberg, Tom"
ds001168,https://openneuro.org/datasets/ds001168/versions/1.0.1,A high resolution 7-Tesla resting-state fMRI test-retest dataset with cognitive and physiological measures,7/14/2018,1/7/2019,22,"MRI - anat, MRI - func, FieldMap",Healthy/Control,"18-25, 26-34",rest,,test-retest ,intra- and inter-session variability,Yes,No,Human,10.1038/sdata.2014.54,10.1101/2020.02.12.925313,"Margulies, Daniel"
ds001178,https://openneuro.org/datasets/ds001178/versions/00002,Example MR artifacts,7/14/2018,7/14/2018,23,"MRI - anat, MRI - func",Healthy/Control,,"rest, machine game, balloon analog risk task, ",,Example MR artifacts,Example MR artifacts,No,No,Human,,,"Poldrack, Russ"
ds001218,https://openneuro.org/datasets/ds001218/versions/00001,State representation pictures,7/15/2018,7/15/2018,30,"MRI - anat, MRI - func, FieldMap",,,mental state pictures,,,state representation pictures,No,No,Human,,,"Tamir, Diana"
ds001226,https://openneuro.org/datasets/ds001226/versions/00001,BTC_preop,7/15/2018,7/15/2018,36,"MRI - anat, MRI - func, MRI - dwi","Healthy/Control, Glioma and meningioma patients","35-50, 51-65, 66+",rest,,,brain dynamics,No,No,Human,10.1523/ENEURO.0083-18.2018,,"Marinazzo, Daniele"
ds001228,https://openneuro.org/datasets/ds001228/versions/00002,Decoding intentions of self and others,7/15/2018,7/15/2018,24,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",collaborative task,192,,delayed intentions ,No,No,Human,10.1016/j.neuroimage.2017.12.090,,"Fung, Hoki"
ds001229,https://openneuro.org/datasets/ds001229/versions/1.0.1,Neural Evidence of the Strategic Choice Between Working Memory and Episodic Memory in Prospective Remembering.,7/15/2018,3/14/2019,27,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","Episodic Memory, Working Memory",15,,strategic choice between working and episodic memory in prospective remembering,No,No,Human,10.1016/j.neuropsychologia.2016.11.006,,"Norman, Ken"
ds001232,https://openneuro.org/datasets/ds001232/versions/1.0.0,Competition between items in working memory leads to forgetting,7/15/2018,2/22/2019,21,"MRI - anat, MRI - func, beh",Healthy/Control,"18-25, 26-34",face and scene stimuli,18-20,delayed recognition of face and scene stimuli,working memory ,No,No,Human,10.1038/ncomms6768,,"Norman, Ken"
ds001233,https://openneuro.org/datasets/ds001233/versions/00003,singleFingerRSA,7/15/2018,7/15/2018,18,"MRI - anat, MRI - func, FieldMap",Healthy/Control,"18-25, 26-34",cued single finger movements,48,,movement sequence,Yes,No,Human,10.1101/255794,,"Verstynen, Timothy"
ds001235,https://openneuro.org/datasets/ds001235/versions/00001,Human-Object Interaction,7/15/2018,7/15/2018,12,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",1back,8,,human-object interaction,No,No,Human,10.1093/cercor/bhw077,,"Fei-Fei, Li"
ds001241,https://openneuro.org/datasets/ds001241/versions/00002,OLVSL_ Object-location visual statistical learning,7/15/2018,7/15/2018,24,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",incidental learning task,24,,incidental learning,No,No,Human,10.1016/j.neuroimage.2018.02.068,,"Dux, Paul"
ds001242,https://openneuro.org/datasets/ds001242/versions/00003,Examining effects of arousal on responses to salient and non-salient stimuli in younger and older adults,7/15/2018,7/15/2018,52,"MRI - anat, MRI - func, MRI - dwi",Healthy/Control,"18-25, 26-34, 51-65, 66+","spatial detection, feat learning PPA functional localizer",,,arousal to salient and non-salient stimuli,No,No,Human,"10.1038/s41562-018-0344-1, 10.1016/j.neuroimage.2017.02.025, 10.1007/s00429-017-1519-7, 10.1016/j.neurobiolaging.2015.09.019, 10.3389/fnagi.2020.00002",,"Mather, Mara"
ds001246,https://openneuro.org/datasets/ds001246/versions/1.1.0,Generic Object Decoding (fMRI on ImageNet),7/15/2018,4/11/2019,5,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50","imagery, perception",,fMRI while 1) viewing object images or 2) imagining object images,generic object decoding,Yes,No,Human,10.1038/ncomms15037,"10.1016/j.neuroimage.2019.116412, arXiv:2001.11761","Kamitani, Yukiyasu"
ds001247,https://openneuro.org/datasets/ds001247/versions/00001,sports_betting_study,7/15/2018,7/15/2018,43,"MRI - anat, MRI - func, FieldMap",Healthy/Control,"18-25, 26-34",cue exposure task,100,,gambling,No,No,Human,10.3758/s13415-018-0599-z,,"Baeken, Chris"
ds001293,https://openneuro.org/datasets/ds001293/versions/00002,Multi-resolution 7T fMRI data on the representation of visual orientation,7/15/2018,7/15/2018,7,MRI - func,Healthy/Control,"18-25, 26-34, 35-50","orientation, coverage",30,,visual orientation ,Yes,No,Human,10.1016/j.dib.2017.05.014,,"Hanke, Michael"
ds001297,https://openneuro.org/datasets/ds001297/versions/00001,Personally familiar faces,7/15/2018,7/15/2018,33,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",face identity oddball,51-52,familiar vs unfamiliar faces,human face visual processing,No,No,Human,10.1038/s41598-017-12559-1,,"Gobbini, Ida"
ds001299,https://openneuro.org/datasets/ds001299/versions/1.0.0,NumberlineMarking,7/15/2018,6/5/2019,19,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50","number line estimation, control word task",98,,mathematical cognition,No,No,Human,10.1162/jocn_a_01199 ,,"Norcia, Anthony"
ds001302,https://openneuro.org/datasets/ds001302/versions/1.0.1,Inverse Base Rate,7/15/2018,8/29/2018,23,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50, 51-65","localizer, learning, test","Localizer: 57, Learn: 32, Test: 32",inverse base rate effect,decision making,No,No,Human,10.7554/eLife.36395,,"Davis, Tyler"
ds001338,https://openneuro.org/datasets/ds001338/versions/1.0.0,ParanoiaStory,7/17/2018,10/19/2018,22,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",reading stories,,"reading stories, naturalistic stimuli",paranoia,No,No,Human,10.1038/s41467-018-04387-2,,"Constable, Todd"
ds001339,https://openneuro.org/datasets/ds001339/versions/00003,SocialBrain,7/17/2018,7/17/2018,14,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50",viewing International Affective Picture System (IAPS),48,,process social information ,No,No,Human,10.1371/journal.pone.0196503,,"Taylor, Stephan"
ds001344,https://openneuro.org/datasets/ds001344/versions/1.0.0,phfMRI_Control_Tasks,7/17/2018,9/11/2018,15,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50","auditory, visual, motor, cognitive and null trials",100,examine pharmacological effects ,examine pharmacological effects ,reliability scanning sessions,No,Human,10.7717/peerj.5540,,"Wall, Matthew"
ds001345,https://openneuro.org/datasets/ds001345/versions/1.0.0,Decoding of multisensory semantics and memories in low-level visual cortex,11/29/2019,11/29/2019,12,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",Audio-Visual Memory,,,vision,No,No,Human,,,"Murray, Micah"
ds001353,https://openneuro.org/datasets/ds001353/versions/00001,KnowledgeFilteringTest,1/21/2020,7/17/2018,29,"MRI - anat, MRI - func",,"18-25, 26-34",knowfilt,,,,No,No,Human,,,"Kirwan, Brock"
ds001357,https://openneuro.org/datasets/ds001357/versions/00001,NameFacePriming,7/17/2018,7/17/2018,18,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","Familiarity decision, viewing",,,prime and target cross-domain priming,No,No,Human,10.1038/s41598-018-28696-0,,"Kovács, Gyula"
ds001365,https://openneuro.org/datasets/ds001365/versions/1.0.0,Indiv Diffs ReadingSkill,7/18/2018,11/1/2018,35,MRI - anat,Healthy/Control,"11-17, 18-25",,,,individual differences in young adult readers cognitive profiles,No,No,Human,10.1080/23273798.2018.1476727,,"Braze, David"
ds001371,https://openneuro.org/datasets/ds001371/versions/1.0.0,Early signs of disrupted rule learning in adolescents at clinical high risk for psychosis,1/17/2020,1/17/2020,47,"MRI - anat, MRI - func, Field map","Healthy/Control, high risk adolescent","11-17, 18-25",ritl,,,,No,No,Human,10.1101/2020.01.20.20018069,10.1016/j.nicl.2020.102286,"Mittal, Vijay"
ds001378,https://openneuro.org/datasets/ds001378/versions/00003,SCA2 Diffusion Tensor Imaging,7/18/2018,7/18/2018,25,"MRI - anat, MRI - dwi","Healthy/Control, SCA2","26-34, 35-50, 51-65, 66+",,,,SCA2,Yes,No,Human,10.1371/journal.pone.0200258,,"Diciotti, Stefano"
ds001386,https://openneuro.org/datasets/ds001386/versions/00001,Subject Data,7/18/2018,7/18/2018,42,"MRI - anat, MRI - func","Healthy/Control, TBI","18-25, 26-34, 35-50, 51-65, 66+",rest,,,TBI,No,No,Human,,,"Hillary, Frank"
ds001399,https://openneuro.org/datasets/ds001399/versions/00002,multibandACQtests,7/18/2018,7/18/2018,3,"MRI - anat, MRI - func, FieldMap",Healthy/Control,,cued task-switching ,,multibandACQtests,reward,No,No,Human,,,"Braver, Todd"
ds001408,https://openneuro.org/datasets/ds001408/versions/00001,rsfMRI_single_session_EEG_NF,7/18/2018,7/18/2018,52,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50",rest,,"scanning before and after neurofeedback, NF vs Sham NF",neurofeedback,Yes,No,Human,,,"Pechenkova, Ekaterina"
ds001415,https://openneuro.org/datasets/ds001415/versions/1.0.0,Audio Cartography,8/12/2020,8/8/2020,21,"MRI - anat, MRI - func, Field Map",Healthy/Control,"18-25, 26-34, 51-65",map listening,,,,No,Yes,Human,https://pqdtopen.proquest.com/doc/2186617933.html?FMT=ABS&pubnum=13420194,,"Lobben, Amy"
ds001417,https://openneuro.org/datasets/ds001417/versions/00001,CAT snacks functional plasticity,7/18/2018,7/18/2018,36,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","cue approach training, response to snacks",40,,behavioral change,Yes,Yes,Human,10.1101/363044,,"Schonberg, Tom"
ds001419,https://openneuro.org/datasets/ds001419/versions/1.0.1,thoughtExperiment,7/24/2018,9/21/2018,1,"MRI - anat, MRI - func, MRI - dwi",Healthy/Control,18-25,imagery,25,,decoding cognitive processes,No,No,Human,10.1371/journal.pone.0204338,,"Labudda, Kirsten"
ds001420,https://openneuro.org/datasets/ds001420/versions/1.0.0,[11C]DASB PET Cimbi database example,7/18/2018,9/4/2018,2,"MRI - anat, PET",,,,,BIDS PET example,BIDS PET example,Yes,No,Human,10.1016/j.neuroimage.2015.04.025,,"Frokjaer, Vibe"
ds001421,https://openneuro.org/datasets/ds001421/versions/1.0.1,[11C]SB207145 PET Cimbi database example,7/18/2018,3/25/2019,1,"MRI - anat, PET",,,,,BIDS PET example,BIDS PET example,Yes,No,Human,10.1016/j.neuroimage.2015.04.025,,"Frokjaer, Vibe"
ds001430,https://openneuro.org/datasets/ds001430/versions/1.0.0,Neural Overlap in Item Representations Across Episodes Impairs Context Memory,8/11/2018,8/11/2018,31,"MRI - anat, MRI - func, FieldMap",Healthy/Control,"18-25, 26-34","Task Localizer, Initial Encoding, Item Repetition, Source Memory Test",,,memory ,No,No,Human,10.1093/cercor/bhy137,,"Turk-Browne, Nicholas"
ds001439,https://openneuro.org/datasets/ds001439/versions/1.2.0,A role for the medial temporal lobe subsystem in guiding prosociality: the effect of episodic processes on willingness to help others,7/26/2018,2/1/2019,18,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",theory-of-mind,"ieh: 15, tom: 10",story of people in need,prosociality ,No,No,Human,10.1093/scan/nsz014,,"Young, Liane"
ds001450,https://openneuro.org/datasets/ds001450/versions/1.0.0,bids_results1,7/31/2018,7/31/2018,2,,,,,,,,,,,,,
ds001454,https://openneuro.org/datasets/ds001454/versions/1.3.0,Human hippocampal replay during rest prioritizes weakly learned information and predicts memory performance,8/10/2018,9/17/2018,24,"MRI - anat, MRI - func, FieldMap",Healthy/Control,"18-25, 26-34, 35-50","viewing satellites, rest",64,,"memory, replay",Yes,No,Human,10.1038/s41467-018-06213-1,,"Norman, Ken"
ds001461,https://openneuro.org/datasets/ds001461/versions/1.0.2,rsfMRI_comrobidity-SmokingandSchizophrenia,8/5/2018,5/5/2019,81,MRI - func,"Healthy/Control, smoking and nonsmoking schizophrenia and smoking controls","18-25, 26-34, 35-50, 51-65",rest,,,preservation effect,No,No,Human,"10.1093/schbul/sby184, 10.1016/j.pnpbp.2020.109860",,"Chen, Huafu"
ds001486,https://openneuro.org/datasets/ds001486/versions/1.2.1,Brain Correlates of Math Development,9/10/2018,3/6/2019,132,"MRI - anat, MRI - func",Healthy/Control,"0-10, 11-17, 18-25, 26-34","Single-Digit Multiplication, Numerosity Judgement, Rhyming Judgement, Single-Digit Subtraction",,,"math development, children development",Yes,No,Human,"10.3389/fpsyg.2016.00892, 10.1111/desc.12268, 10.3389/fpsyg.2015.00226, 10.1016/j.neuroimage.2014.12.011, https://www.ncbi.nlm.nih.gov/pubmed/25089323, 10.1016/j.cortex.2014.04.001, 10.1080/87565641.2014.939182, 10.1002/hbm.24223, 10.1016/j.neuroimage.2018.08.074, Demir, E., Suarez-Pellicioni, M., Bonzak, J. & Booth, J. R. Attitudes towards math differentially related to neural basis of multiplication depending on skill. Learn. Disabil. Q.",,"Booth, James"
ds001491,https://openneuro.org/datasets/ds001491/versions/1.0.0,Valence processing differs across stimulus modalities (Multi-echo),8/31/2018,8/31/2018,20,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","Flavor stimuli, images, ",,delayed response,pleasantness of flavors and images,No,No,Human,10.1016/j.neuroimage.2018.08.059,,"ter Horst, Gert"
ds001497,https://openneuro.org/datasets/ds001497/versions/1.0.1,"Long-term Memory (LTM) for famous Faces, Places, and common Objects",9/4/2018,12/4/2018,10,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","Long term memory task, delayed paired-associate working memory",15,,long-term memory,No,No,Human,10.1523/JNEUROSCI.1953-08.2008,,"Postle, Bradley"
ds001499,https://openneuro.org/datasets/ds001499/versions/1.3.0,BOLD5000,9/7/2018,1/9/2019,4,"MRI - anat, MRI - func, MRI - dwi, FieldMap",Healthy/Control,"18-25, 26-34","5000 scenes, scene localizer",,"real world scenes, viewing over several sessions",vision,Yes,Yes,Human,10.1038/s41597-019-0052-3,,"Aminoff, Elissa"
ds001506,https://openneuro.org/datasets/ds001506/versions/1.3.0,Deep Image Reconstruction,9/11/2018,4/12/2019,3,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","image presentation, mental imagery",,deep image reconstruction,visual,many sessions,No,Human,10.1371/journal.pcbi.1006633,,"Kamitani, Yukiyasu"
ds001510,https://openneuro.org/datasets/ds001510/versions/1.0.3,Schematic narrative perception and recall (intact),9/10/2018,1/30/2019,31,"MRI - anat, MRI - func, FieldMap",Healthy/Control,"18-25, 26-34",perception,4,naturalistic stimuli,perception,No,No,Human,10.1523/JNEUROSCI.0251-18.2018,,"Norman, Ken"
ds001511,https://openneuro.org/datasets/ds001511/versions/1.0.3,Schematic narrative perception and recall (scrambled),9/10/2018,1/30/2019,13,"MRI - anat, MRI - func, FieldMap",Healthy/Control,"18-25, 26-34, 35-50","catching a flight, eating at a restaurant",,naturalistic stimuli,perception,No,Yes,Human,10.1523/JNEUROSCI.0251-18.2018,,"Norman, Ken"
ds001517,https://openneuro.org/datasets/ds001517/versions/1.0.1,Associative Prediction of Visual Shape in the Hippocampus,9/19/2018,9/19/2018,24,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","Prediction audio cue, Shape only",120-128,,"perceptual inference, expectation",No,No,Human,10.1523/JNEUROSCI.0163-18.2018,,"Turk-Browne, Nicholas"
ds001521,https://openneuro.org/datasets/ds001521/versions/1.0.2,Lingering representations of stimuli influence recall organization,9/20/2018,2/22/2019,41,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","recall-by-category task, localizer","Localizer: 72, Recall-by-category: 54",,"memory, free recall",No,No,Human,10.1016/j.neuropsychologia.2017.01.029,,"Norman, Ken"
ds001525,https://openneuro.org/datasets/ds001525/versions/1.1.0,Syllable level speech sequencing,9/27/2018,9/27/2018,17,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50","localizer, repetition","Localizer: 15, Repetition: 18",,"speech sequence, language",No,Yes,Human,10.1371/journal.pone.0196381,,"Hickok, Gregory"
ds001529,https://openneuro.org/datasets/ds001529/versions/1.0.1,Mouse_rest_anesthesia,9/30/2018,10/1/2018,38,MRI - func,Healthy/Control,2-6 (months),rest,,optimization of anesthesia protocol for rsfmri mice,optimization of anesthesia protocol for rsfmri mice,No,No,Mouse,10.1016/j.neuroimage.2014.08.043,,"Grandjean, Joanes"
ds001534,https://openneuro.org/datasets/ds001534/versions/1.0.5,Calorie-labeled food cues,10/8/2018,10/24/2018,42,"MRI - anat, MRI - func","Healthy/Control, Dieting participants",18-25,"food image, rating calorie-labeled food images, rating non-calorie labeled food images",88-90,,obesity,No,No,Human,10.1371/journal.pone.0204744,,"Rapuano, Kristina"
ds001541,https://openneuro.org/datasets/ds001541/versions/1.1.2,Mouse_opto_DRN,10/10/2018,11/25/2018,16,"MRI - anat, MRI - func",Healthy/Control,2-6 (months),optogenetics,6,"optogenetics, imaging at 7T",dorsal raphe nucleus,Yes,No,Mouse,10.1038/s41467-018-08256-w,,"Grandjean, Joanes"
ds001545,https://openneuro.org/datasets/ds001545/versions/1.1.0,Learning Naturalistic Temporal Structure in the Posterior Medial Network,10/10/2018,10/17/2018,30,"MRI - anat, MRI - func, FieldMap",Healthy/Control,"18-25, 26-34",movie watching,6,"watching ""The Grand Budapest Hotel"" ",naturalistic stimuli,No,No,Human,10.1162/jocn_a_01308 ,,"Hasson, Uri"
ds001547,https://openneuro.org/datasets/ds001547/versions/1.1.0,Layer VASO in visual system,10/11/2018,10/12/2018,5,"MRI - anat, MRI - func, stat",Healthy/Control,"18-25, 26-34","rest, imagery, swirly stars",2,sequence design testing,visual,No,Yes,Human,10.1016/j.neuron.2017.11.005,10.1016/j.pneurobio.2020.101835,"Bandettini, Peter"
ds001551,https://openneuro.org/datasets/ds001551/versions/1.0.0,Pupil mimicry promotes trust through the theory-of-mind network,10/16/2018,10/16/2018,34,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",trust task,54,,"theory-of-mind, social",No,No,Human,10.1073/pnas.1803916115,,"Kret, Mariska"
