,AccessionNumber,Dataset URL,Dataset name,ReleaseDate,Most recent snapshot date (MM/DD/YYYY),NSubjects,Modalities,DX status(es),Ages (range),Tasks completed?,# of trials (if applicable),Study design,Domain studied,Longitudinal?,Processed data?,Species,DOI of paper associated with DS (from submitter lab),DOI of paper because DS on OpenNeuro,"Senior Author (lab that collected data) Last, First"
242,ds002087,https://openneuro.org/datasets/ds002087/versions/1.0.0,Datasets with and without deliberate head movements for detection and imputation of dropout in diffusion MRI,8/1/2019,8/1/2019,1,MRI - dwi,,,,,,,No,No,,,,"Schultz, Thomas"
243,ds002094,https://openneuro.org/datasets/ds002094/versions/1.0.0,Single-pulse open-loop TMS-EEG dataset,8/2/2019,8/2/2019,20,"channels, eeg, events",,,"rest, tmseeg1, tmseeg2",,,,No,No,,,,
244,ds002105,https://openneuro.org/datasets/ds002105/versions/1.1.0,Multi-domain task battery (MDTB),5/10/2020,5/10/2020,24,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34","a, b, rest",,Multi-task data battery,Cognition,No,No,Human,10.1038/s41593-019-0436-x,"King, M., Hernandez-Castillo, C.R., Poldrack, R.A., Ivry, R.B., and Diedrichsen, J. (2019). Functional boundaries in the human cerebellum revealed by a multi-domain task battery. Nat. Neurosci. 22, 1371–1378.","Diedrichsen, Jörn"
245,ds002116,https://openneuro.org/datasets/ds002116/versions/1.0.0,Development of Symbolic Number Processing,12/10/2020,12/10/2020,57,"MRI - func, MRI - anat",Healthy / Control,"0-10, 11-17",Adaptation,,,,No,No,Human,,,"Ansari, Daniel"
246,ds002134,https://openneuro.org/datasets/ds002134/versions/1.0.0,Mouse_opto_3xTG,4/3/2020,4/3/2020,31,"MRI - func, MRI - anat",,0-10,"opto10, opto5, opto20, rest",,,,Yes,No,Mouse,,,"Grandjean, Joanes"
247,ds002144,https://openneuro.org/datasets/ds002144/versions/2.0.0,Stat Episodic,8/11/2020,8/11/2020,36,"MRI - func, MRI - anat",,,"category pairings, random presentation",,,,No,No,,,,"Turk-Browne, N.B."
248,ds002149,https://openneuro.org/datasets/ds002149/versions/1.0.5,Conditional Visual Associative Learning Task,9/5/2019,9/5/2019,20,"MRI - func, MRI - anat",,,conditional visual associative learning task,,,,No,No,,,,"Mattfeld, Aaron T."
249,ds002153,https://openneuro.org/datasets/ds002153/versions/1.0.1,testrun,9/4/2019,9/4/2019,1,"MRI - func, MRI - anat",,,Resting_state,,,,No,No,,,,"Joey, "
250,ds002154,https://openneuro.org/datasets/ds002154/versions/1.0.0,Mouse_rest_psilocybin_pilot,9/2/2019,9/2/2019,24,MRI - func,,,rest,,,,No,No,,,,"Rudin, Markus"
251,ds002155,https://openneuro.org/datasets/ds002155/versions/1.0.0,A mesial-to-lateral dissociation for orthographic processing in the visual cortex,9/3/2019,9/3/2019,20,"MRI - func, MRI - anat",,,"graphemes, regularity",,,,No,No,,,,"Cohen, Laurent"
252,ds002156,https://openneuro.org/datasets/ds002156/versions/2.0.0,Multi-echo masking test dataset,9/3/2019,9/3/2019,1,"MRI - func, MRI - anat",,,rest,,,,No,No,,,,"Stringaris, Argyris"
253,ds002158,https://openneuro.org/datasets/ds002158/versions/1.0.2,Simultaneous eeg-fmri for a speeded discrimination task with confidence,3/19/2020,3/19/2020,20,"MRI - func, MRI - anat, EEG",Healthy / Control,"18-25, 26-34","main, rest",288,,metacognition,No,No,Human,10.1073/pnas.1918335117,,"Millan, Jose del R."
254,ds002168,https://openneuro.org/datasets/ds002168/versions/1.1.0,Pattern Separation beyond the Hippocampus: A High-Resolution Whole-Brain Investigation of Mnemonic Discrimination in Healthy Adults,5/13/2020,5/13/2020,48,"MRI - func, MRI - anat",,,MST,,,,No,No,Human,,,"Kirwan, C. Brock"
255,ds002169,https://openneuro.org/datasets/ds002169/versions/1.0.0,CCD,3/13/2020,3/13/2020,33,"MRI - func, MRI - anat",,18-25,"CCD, Localizer",,,,No,No,,,,"Wagner, Anthony D."
256,ds002179,https://openneuro.org/datasets/ds002179/versions/1.1.0,7 Tesla MRI of the ex vivo human brain at 100 micron resolution,9/17/2019,9/17/2019,1,MRI - anat,,,,,,,No,No,,,,"A, van der Kouwe"
257,ds002181,https://openneuro.org/datasets/ds002181/versions/1.0.0,CRYPTO and PROVIDE EEG Baseline Data,9/16/2019,9/16/2019,226,"channels, eeg, events",,"0-10, 35-50",Baseline,,,,No,No,,,,"Nelson, Charles A"
258,ds002185,https://openneuro.org/datasets/ds002185/versions/1.1.0,Human Olfaction Without Apparent Olfactory Bulbs,1/22/2020,1/22/2020,22,"T1w, T2w, dwi, bold, events",,,"odors, TODO: full task name for odors",,,,No,No,,,,"Sobel, Noam"
259,ds002207,https://openneuro.org/datasets/ds002207/versions/1.0.0,CEREBRuM: a 3T MRI segmentation tool,9/26/2019,9/26/2019,7,MRI - anat,Healthy / Control,,,,Method development,Method development,No,No,Human,,,"Muckli, Lars"
260,ds002218,https://openneuro.org/datasets/ds002218/versions/2.0.0,Auditory and Visual Rhythm Omission EEG,10/3/2019,10/3/2019,18,EEG,,,Experiment,,,,No,No,Human,,,"Balasubramaniam, Ramesh"
261,ds002232,https://openneuro.org/datasets/ds002232/versions/1.0.0,Caltech rsfMRI Dataset ,10/7/2019,10/7/2019,6,"MRI - func, MRI - anat",,"18-25, 26-34",rest,,,,No,No,,,,"Adolphs, Ralph"
262,ds002236,https://openneuro.org/datasets/ds002236/versions/1.1.1,Cross-Sectional Multidomain Lexical Processing,10/17/2019,10/17/2019,91,"MRI - func, MRI - anat",,"0-10, 11-17","Auditory Rhyming Judgment, Auditory Semantic Judgment, Auditory Spelling Judgment, Visual Rhyming Judgment, Visual Semantic Judgment, Visual Spelling Judgment",,"fMRI of orthographic, phonological and semantic word processing tasks",Reading Development,No,No,Human,,,"Booth, James R."
263,ds002237,https://openneuro.org/datasets/ds002237/versions/1.1.0,Briefly cueing memories leads to suppression of their neural representations,10/11/2019,10/11/2019,16,"MRI - func, MRI - anat",,,"RSVP task, Post-RSVP memory test, Pre-RSVP memory test, Category Localizer",,,,No,No,,,,"Norman, K. A."
264,ds002241,https://openneuro.org/datasets/ds002241/versions/1.1.1,Sketch Loop,12/3/2020,12/3/2020,31,"MRI - func, MRI - anat",,,"drawing, recognition",,,,No,No,Human,https://doi.org/10.1523/JNEUROSCI.1843-19.2019,,"Turk-Browne, N.B."
265,ds002242,https://openneuro.org/datasets/ds002242/versions/1.0.0,Correcting False Memories: The Effect of Mnemonic Generalization on Original Memory Traces,10/15/2019,10/15/2019,35,"MRI - func, MRI - anat",Healthy / Control,,STT,,,Memory,No,No,Human,,,"Kirwan, C. Brock"
266,ds002250,https://openneuro.org/datasets/ds002250/versions/1.0.1,The agency of accidents : neural correlates of moral judgments for first-person and third-person accidental harms,10/24/2019,10/24/2019,20,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50","firstthird, so, tom",,,Moral Judgment and decision making,No,No,Human,,,"Young, Liane"
267,ds002270,https://openneuro.org/datasets/ds002270/versions/1.0.0,Viewing_food_cues,10/28/2019,10/28/2019,19,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",Viewing alternating blocks presenting either ready-to-eat edible objects or pictures of items unrelated to food,9,,Feeding,No,No,Human,,,"Claise, Béatrice"
268,ds002274,https://openneuro.org/datasets/ds002274/versions/1.0.2,Hands on analysis tutorial,10/28/2019,10/28/2019,1,MRI - anat,,,,,,,No,No,,,,"Huber, Renzo"
269,ds002278,https://openneuro.org/datasets/ds002278/versions/2.0.0,Dense Investigation of Variability of Affect (DIVA),10/29/2019,10/29/2019,5,"MRI - func, MRI - anat, MRI - dwi",Healthy / Control,"18-25, 26-34, 35-50","Emotion Induction and Regulation Test, probabilistic selection task, rest (eyes open), Stranger Things, M1/V1/A1 localization, M1/V1/A1 HRF estimation, Dual Self and Other Referential Processing and Flanker Task, arithmetic",,,,Yes,No,Human,,,"Laird, Angela R."
270,ds002293,https://openneuro.org/datasets/ds002293/versions/1.0.0,FSL open science dev dataset,10/31/2019,10/31/2019,1,MRI - anat,Alzheimers,,,1,,signal analytic,No,No,Human,,,"xxxxx, "
271,ds002294,https://openneuro.org/datasets/ds002294/versions/1.0.1,trait-role,4/11/2020,4/11/2020,40,"MRI - func, MRI - anat",Healthy / Control,,roletrait,200,,Social Neuroscience,No,No,Human,,,"Cunningham, William"
272,ds002295,https://openneuro.org/datasets/ds002295/versions/1.0.0,ODC mapper 7T surface coil,5/18/2020,5/18/2020,7,"MRI - func, MRI - anat",,,"Detect Fixation changes, PRF stimulus, Detect changes in checkerboard rotation direction",,,,No,No,Human,,,"Knapen, Tomas H."
273,ds002306,https://openneuro.org/datasets/ds002306/versions/1.1.0,Over 100 Task fMRI Dataset,1/27/2020,1/27/2020,6,"T1w, bold, events",Healthy / Control,,"test, training",,,,No,No,Human,https://doi.org/10.1101/614081,,"Nishimoto, Shinji"
274,ds002307,https://openneuro.org/datasets/ds002307/versions/3.2.2,individual_dMRI_fMRI,11/10/2019,11/10/2019,19,"MRI - func, MRI - anat, MRI - dwi",Healthy / Control,,rest,,,,No,No,Mice B6/129P,,,"Kahn, Itamar"
275,ds002311,https://openneuro.org/datasets/ds002311/versions/1.1.0,Multiple-object tracking as atool for parametrically modulating memory reactivation,11/8/2019,11/8/2019,23,"MRI - func, MRI - anat",,,"Post-MOT memory test, Category Localizer, MOT task, Pre-MOT memory test",,,,No,No,Human,10.1162/jocn_a_01132,,"Norman, K.A."
276,ds002316,https://openneuro.org/datasets/ds002316/versions/1.0.0,rewardBeast,11/13/2019,11/13/2019,36,"MRI - func, MRI - anat",,,"reward, Beast, rest",,,"Reward, Stop Signal",No,No,Human,,,"Poldrack, R. A."
277,ds002320,https://openneuro.org/datasets/ds002320/versions/1.1.0,Dynamic_Passive_Threat,11/14/2019,11/14/2019,82,"MRI - func, MRI - anat",Healthy / Control,,circles,,,"Emotion, Cognition, Threat, Dynamic",No,No,Human,,,"Padmala, Srikanth"
278,ds002322,https://openneuro.org/datasets/ds002322/versions/1.0.4,The Alice Dataset: fMRI Dataset to Study Natural Language Comprehension in the Brain,11/15/2019,11/15/2019,26,"MRI - anat, MRI - func",Healthy / Control,"18-25, 26-34",alice,,"The audio stimulus was Kristen McQuillan’s reading of the first chapter of Lewis Carroll’s Alice in Wonderland from librivox.org, available in the stimuli folder. To improve comprehensibility in the noisy scanner, the audio was normalized to 70 dB and slowed by 20% with the pitch-preserving PSOLA algorithm implemented in Praat software. This moderate amount of time-dilation did not introduce recognizable distortion and was judged by an independent rater to sound natural and to be easier to comprehend than the raw audio recording. The audio presentation lasted 12.4 min. After giving their informed consent, participants were familiarized with the MRI facility and assumed a supine position on the scanner gurney. Auditory stimuli were delivered through MRIsafe, high-fidelity headphones (Confon HP-VS01, MR Confon, Magdeburg, Germany) inside the head coil. The headphones were secured against the plastic frame of the coil using foam blocks. Using a spoken recitation of the US Constitution, an experimenter increased the volume stepwise until participants reported that they could hear clearly. Participants then listened passively to the audio storybook. Upon emerging from the scanner, participants completed a twelve-question multiple-choice questionnaire concerning events and situations described in the story. The entire session lasted less than an hour.",Natural Language Comprehension,No,No,Human,https://doi.org/10.1016/j.bandl.2016.04.008,,"Hale, John T."
279,ds002328,https://openneuro.org/datasets/ds002328/versions/1.0.2,FSL open science dev dataset,11/19/2019,11/19/2019,1,MRI - anat,,,,,,,No,No,,,,"Hanayik, Taylor"
280,ds002330,https://openneuro.org/datasets/ds002330/versions/1.1.0,Neuroimaging predictors of creativity in healthy adults,12/16/2019,12/16/2019,66,"MRI - dwi, MRI - anat, MRI - func",Healthy / Control,"18-25, 26-34, 35-50",Rest,,Correlational,Creativity,No,No,Human,10.1016/j.neuroimage.2019.116292,,"Poppenk, J."
281,ds002336,https://openneuro.org/datasets/ds002336/versions/2.0.2,"An open access, multi-modal human neuroimaging dataset for data integration: simultaneous EEG and MRI acquisition during a motor imagery neurofeedback task: XP1",12/4/2019,12/4/2019,10,"MRI - func, MRI - anat, EEG",Healthy / Control,"18-25, 26-34, 35-50","fmriNF, eegfmriNF, MIpost, eegNF, motorloc, MIpre",,EEG-fMRI Neurofeedback,Neurofeedback,No,No,Human,,,"Barillot, Christian"
282,ds002338,https://openneuro.org/datasets/ds002338/versions/2.0.2,"An open access, multi-modal human neuroimaging dataset for data integration: simultaneous EEG and MRI acquisition during a motor imagery neurofeedback task: XP2",12/4/2019,12/4/2019,17,"MRI - func, MRI - anat, EEG",Healthy / Control,"18-25, 26-34, 35-50, 66+","1dNF, MIpost, MIpre, 2dNF, 1dNF_run-01, 2dNF_run-02",3,EEG-fMRI neurofeedback motor imagery task,Neurofeedback,No,No,Human,,,"Barillot, Christian"
283,ds002345,https://openneuro.org/datasets/ds002345/versions/1.1.4,Narratives,12/11/2019,12/11/2019,345,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50, 51-65","pieman, tunnel, notthefallintact, notthefallshortscram, slumlordreach, lucy, milkyway, prettymouth, notthefalllongscram, schema, shapesphysical, shapessocial, 21styear, merlin, sherlock, bronx, black, forgot, piemanpni",,,Naturalistic language,No,No,Human,,,"Hasson, Uri"
284,ds002358,https://openneuro.org/datasets/ds002358/versions/1.0.0,columnar Finger representations,12/15/2019,12/15/2019,1,MRI - anat,Healthy / Control,,,80,block,"fMRI Methods development, Motor cortex",No,No,Human,https://doi.org/10.1101/457002,,"Bandettini, Peter"
285,ds002363,https://openneuro.org/datasets/ds002363/versions/1.1.1,Differential Repetition Suppression Effects to Computer Warnings as Revealed with Functional MRI,1/18/2020,1/18/2020,22,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",RSE1,260,event related,,No,No,Human,,,"Jenkins, Jeffrey"
286,ds002366,https://openneuro.org/datasets/ds002366/versions/1.1.0,"Emotion regulation in the Ageing Brain, University of Reading, BBSRC",12/20/2019,12/20/2019,34,"MRI - func, MRI - dwi, MRI - anat",Healthy / Control,"51-65, 66+","Emoreg Run1, Emoreg Run2, Emoreg Run3, Emoreg Run4",,,Emotion Regulation,No,No,Human,https://doi.org/10.1101/867689,,"Reekum, Carien M. van"
287,ds002367,https://openneuro.org/datasets/ds002367/versions/1.0.0,OHBM abstract 2020,12/18/2019,12/18/2019,1,MRI - anat,,,,,,Brain,No,No,Human,,,"Poser, Benedikt"
288,ds002372,https://openneuro.org/datasets/ds002372/versions/1.0.0,Yale_Single_Subject_Task_Rest30x,12/19/2019,12/19/2019,1,"MRI - func, MRI - anat",,,"Gradual-onset continuous performance task, Card Guessing Task, Reading the Mind in the eyes task, Rest task, N-back task, Movies task, Stop-signal task",,,,No,No,,,,"Constable, R. Todd"
289,ds002374,https://openneuro.org/datasets/ds002374/versions/1.0.0,3AM straight reproducibility phantoms,12/19/2019,12/19/2019,1,MRI - dwi,,,,,,dMRI validation,No,No,synthetic fibre,,,"Khan, Ali"
290,ds002380,https://openneuro.org/datasets/ds002380/versions/1.0.1,SerumGreyMatterCorticalThickness,1/14/2020,1/14/2020,143,MRI - anat,,,,,,,No,No,,,,"Rajendra Morey, M.D."
291,ds002382,https://openneuro.org/datasets/ds002382/versions/1.0.1,The neural basis of spoken word perception in older adults,3/4/2020,3/4/2020,61,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 51-65, 66+","REPEAT02, REPEAT01, LISTEN01, LISTEN02",,,speech,No,No,Human,,,"JE, Peelle"
292,ds002411,https://openneuro.org/datasets/ds002411/versions/1.1.0,Decoding functional category of source code from the brain (fMRI on Java program comprehension),1/29/2020,1/29/2020,29,"MRI - func, MRI - anat",Healthy / Control,18-25,ProgramCategorization,216,,Programming expertise,No,No,Human,,,"Nishimoto, Shinji"
293,ds002419,https://openneuro.org/datasets/ds002419/versions/1.0.3,"Short-term consumption of sucralose with, but not without, carbohydrate impairs neural and metabolic sensitivity to sugar",1/23/2020,1/23/2020,48,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50","task-taste1, task-taste2",,,Taste,Yes,No,Human,,,"Small, Dana M."
294,ds002422,https://openneuro.org/datasets/ds002422/versions/1.1.0,fMRI: resting state and arithmetic task,1/20/2020,1/20/2020,46,"T1w, bold, events, fieldmap",Healthy / Control,"18-25, 26-34, 35-50, 51-65, 66+","rest, arithm_run-02, arithm_run-01",,One sample,Executive functions,No,No,Human,,,"Vlasova, Roza"
295,ds002424,https://openneuro.org/datasets/ds002424/versions/1.2.0,Reward and Working Memory in Attention Deficit Hyperactivity Disorder (ADHD),3/18/2020,3/18/2020,79,"MRI - func, MRI - anat",ADD/ADHD,,"VisuoSpatial Working Memory, Large Reward, Delayed Feedback, VisuoSpatial Working Memory, Large Reward, Immediate Feedback, VisuoSpatial Working Memory, Small Reward, Delayed Feedback, Verbal Working Memory, Large Reward, Delayed Feedback, VisuoSpatial Working Memory, Small Reward, Immediate Feedback, Verbal Working Memory, Small Reward, Delayed Feedback, Verbal Working Memory, Large Reward, Immediate Feedback, Verbal Working Memory, Small Reward, Immediate Feedback",120,,Reward and Working Memory,No,No,Human,,,"Tennekoon, Michael"
296,ds002425,https://openneuro.org/datasets/ds002425/versions/1.0.2,"The neural representation of visually evoked emotion is high-dimensional, categorical, and distributed across transmodal brain regions",4/24/2020,4/24/2020,5,"MRI - func, MRI - anat",,,CowenKeltnerEmotionMovie,,,,No,No,Human,https://doi.org/10.1016/j.isci.2020.101060,,"Kamitani, Yukiyasu"
297,ds002513,https://openneuro.org/datasets/ds002513/versions/1.0.0,Increased brain reactivity to gambling unavailability is a marker of problem gambling,2/14/2020,2/14/2020,65,"MRI - func, MRI - anat",Gambling Disorder,,cueexposure,100,Events-related,Gambling Disorder,No,No,Human,,,"Billieux, Joël"
298,ds002522,https://openneuro.org/datasets/ds002522/versions/1.0.2,Contrast Response Functions,2/5/2020,2/5/2020,48,"MRI - func, MRI - anat",ASD,"18-25, 26-34",CRF,,block design,Early visual cortex responses,No,No,Human," https://doi.org/10.1523/JNEUROSCI.2376-19.2020, https://doi.org/10.7554/eLife.36493.001, https://doi.org/10.1016/j.cub.2018.06.014,  https://doi.org/10.1016/j.neuroimage.2018.10.001, https://doi.org/10.1101/645846", https://doi.org/10.1523/JNEUROSCI.2376-19.2020,"Murray, Scott O."
299,ds002543,https://openneuro.org/datasets/ds002543/versions/1.0.1,"Learning, Inhibitory Control, and Perception",2/14/2020,2/14/2020,49,"MRI - func, MRI - dwi, MRI - anat",Healthy / Control,"18-25, 26-34","RLtestphase, RLlearningphase, Stopsignal, ppaffalomapper",,,,No,No,Human,"10.1093/cercor/bhy076, 10.1093/cercor/bhz218",,"Theeuwes, J."
300,ds002547,https://openneuro.org/datasets/ds002547/versions/1.1.0,SharedStates,2/8/2020,2/8/2020,26,"MRI - func, MRI - anat",Healthy / Control,18-25,"other, self",,,Affective neuroscience,No,No,Human,10.1093/scan/nsx037,Shared states: using MVPA to test neural overlap between self-focused emotion imagery and other-focused emotion understanding,"Scholte, H. Steven"
301,ds002549,https://openneuro.org/datasets/ds002549/versions/1.0.1,LCNeuro: PAG-B 1.0,2/14/2020,2/14/2020,1,"MRI - func, MRI - anat",,,"maze, rest",4,Experimental + Case (S4),"Aging, Brain Insulin Resistance, Glucose, Ketone, beta-hydroxybutyrate",No,No,Human,,,"Neurodiagnostics, Laboratory for Computational"
302,ds002550,https://openneuro.org/datasets/ds002550/versions/1.0.1,Differential brain mechanisms of selection and maintenance of information during working memory (MEG data),2/18/2020,2/18/2020,22,"MRI - anat, MEG",Healthy / Control,,"WorkingMemory, LocalizerControl",800,,Working memory,No,No,Human,https://doi.org/10.1523/JNEUROSCI.2764-18.2019,https://doi.org/10.1523/JNEUROSCI.2764-18.2019,"Cohen, Leonardo"
303,ds002551,https://openneuro.org/datasets/ds002551/versions/1.0.1,Mouse_awake_rest,2/20/2020,2/20/2020,7,"MRI - func, MRI - anat",Healthy / Control,,rest,,resting state fMRI,,No,No,mouse,,,"Tanaka, Kenji F."
304,ds002574,https://openneuro.org/datasets/ds002574/versions/1.0.1,Cerebellum Retinotopic Mapping,2/19/2020,2/19/2020,3,"MRI - func, MRI - anat",Healthy / Control,,prf,43,population receptive field,Vision,No,No,Human,"10.1016/j.cub.2019.04.012, 10.1093/cercor/bhz323","10.1016/j.cub.2019.04.012, 10.1093/cercor/bhz323","Es, Daan van"
305,ds002578,https://openneuro.org/datasets/ds002578/versions/1.1.0,P3 study,2/21/2020,2/21/2020,2,"MRI - anat, EEG",Healthy / Control,26-34,attention,,,Cognition,No,No,Human,10.1523/JNEUROSCI.3477-07.2007,"Delorme, A., Westerfield, M., Makeig, S. (2007) Medial prefrontal theta bursts precede rapid motor responses during visual selective attention. Journal of Neuroscience, 27(44):11949-59.","Makeig, Scott"
306,ds002596,https://openneuro.org/datasets/ds002596/versions/1.0.1,"Cognitive control of sensory pain encoding in the pregenual anterior cingulate cortex. d1 - decoder construction in day 1, d2 - adaptive control in day 2.",2/24/2020,2/24/2020,19,"MRI - func, MRI - anat",Healthy / Control,,"d1-decoder_construction, d2-adaptive_tcontrol",,Within-subject yoked design,Pain,No,No,Human,,,"Seymour, B."
307,ds002603,https://openneuro.org/datasets/ds002603/versions/1.0.0,MB-EPI-comparison,3/3/2020,3/3/2020,23,"MRI - func, MRI - anat",Healthy / Control,18-25,wm,40,event-related,working memory,No,No,Human,,,"Scholte, H. Steven"
308,ds002606,https://openneuro.org/datasets/ds002606/versions/1.1.0,bids_dataset,3/9/2020,3/9/2020,10,"MRI - func, MRI - anat",,,"locAPsms16iso, locPAepi3d5vol, locPAsms16iso5vol, locAPepi3d",,,,No,No,Human,10.1371/journal.pone.0225286,Comparison of SMS-EPI and 3D-EPI at 7T in an fMRI localizer study with matched spatiotemporal resolution and homogenized excitation profiles,"Boulant, Nicolas"
309,ds002608,https://openneuro.org/datasets/ds002608/versions/1.0.2,RPN-signature_Study1,3/23/2020,3/23/2020,41,"MRI - anat, MRI - func",Healthy / Control,,resting-state,,predictive modelling training sample,"resting-state, pain",No,No,Human,https://doi.org/10.1038/s41467-019-13785-z,"Spisak, Tamas, et al. ""Pain-free resting-state functional brain connectivity predicts individual pain sensitivity."" Nature Communications 11.1 (2020): 1-12.","Bingel, Ulrike"
310,ds002609,https://openneuro.org/datasets/ds002609/versions/1.0.3,RPN-signature_Study2,5/8/2020,5/8/2020,49,"MRI - anat, MRI - func",Healthy / Control,,resting-state,,,resting-state pain susceptibility network,No,No,Human,"T. Spisak et al., Pain-free resting-state functional brain connectivity predicts individual pain sensitivity",,"Bingel, Ulrike"
311,ds002614,https://openneuro.org/datasets/ds002614/versions/1.0.0,Meditacion Interocepcion,5/8/2020,5/8/2020,1,"MRI - anat, MRI - func",,,task-rest,,Meditacion Interocepcion,Meditacion Interocepcion,No,No,Human,,,"Tagliazucchi, Enzo"
312,ds002620,https://openneuro.org/datasets/ds002620/versions/1.0.0,"Emotion regulation in the Ageing Brain, University of Reading, BBSRC",12/17/2021,12/17/2021,82,"MRI - func, MRI - dwi, MRI - anat",,"51-65, 66+","Emoreg Run1, Emoreg Run2, Emoreg Run3, Emoreg Run4",,,,No,No,,,,"Reekum, Carien M. van"
313,ds002634,https://openneuro.org/datasets/ds002634/versions/3.0.0,Project_larynx,3/13/2020,3/13/2020,20,"MRI - func, MRI - dwi, MRI - anat",Healthy / Control,,"ArtVoc, Factorial",,,,No,No,Human,"10.1101/645234, 10.1101/2020.02.20.958314","10.1101/645234, 10.1101/2020.02.20.958314","co-authors, project-specific"
314,ds002643,https://openneuro.org/datasets/ds002643/versions/1.1.0,Can we have a second helping? A replication study on the neurobiological mechanisms underlying self-control,8/15/2022,8/15/2022,80,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50","Decisiontask, RestingState, Tasteratingtask, Healthratingtask",50,"3 Tasks (Health: rate healthiness of food items, Taste: rate tastiness of food items, Decision: choose between food item and reference food item)",Self-control,No,No,Human,,,"Smidts, A."
315,ds002647,https://openneuro.org/datasets/ds002647/versions/1.0.1,Isometric exercise facilitates attention to salient events in women via the noradrenergic system,3/19/2020,3/19/2020,91,"T1w, bold, events",,"18-25, 26-34, 35-50, 51-65, 66+","Auditory Oddball Task, Isometric Handgrip (IHG) Task",,,,No,No,Human,10.1016/j.neuroimage.2020.116560,,"Kennedy, Briana"
316,ds002655,https://openneuro.org/datasets/ds002655/versions/1.0.1,The medial temporal lobe supports mnemonic discrimination for event duration,4/10/2020,4/10/2020,35,"MRI - func, MRI - anat",Healthy / Control,,TemporalMST,,,Memory,No,No,Human,,,"Kirwan, C. Brock"
317,ds002672,https://openneuro.org/datasets/ds002672/versions/1.0.0,Robust functional mapping of layer-selective responses in human lateral geniculate nucleus with high-resolution 7T fMRI,4/1/2020,4/1/2020,5,"MRI - func, MRI - anat",,,locLREye,,,,No,No,Human,,,"Zhang, Peng"
318,ds002674,https://openneuro.org/datasets/ds002674/versions/1.0.6,28andMe,4/3/2020,4/3/2020,1,"MRI - anat, MRI - func",Healthy / Control,,rest,,Longitudinal imaging of single individual (N =30),Cognitive neuroscience,Yes,No,Human,,https://doi.org/10.1101/866913,"Mueller, Joshua M."
319,ds002675,https://openneuro.org/datasets/ds002675/versions/1.0.0,The language network reemerges during recovery from severe traumatic brain injury,4/17/2020,4/17/2020,24,"MRI - func, MRI - anat",,,language,,"prospective, longitudinal",Traumatic Brian Injury,Yes,No,Human,https://doi.org/10.1101/2020.01.10.20017004,,"Edlow, Brian L."
320,ds002680,https://openneuro.org/datasets/ds002680/versions/1.2.0,Go-nogo categorization and detection task,4/9/2020,4/9/2020,14,EEG,Healthy / Control,,gonogo,2500,,Cognition,No,No,Human,10.1016/j.cogbrainres.2003.11.010,https://www.ncbi.nlm.nih.gov/pubmed/15019707,"Delorme, Arnaud"
321,ds002684,https://openneuro.org/datasets/ds002684/versions/1.0.0,Kung Fu Panda,4/6/2020,4/6/2020,4,"MRI - func, MRI - anat",Healthy / Control,"26-34, 35-50","check, movie, prf",,Block and event-related visual tasks,Visual neuroscience,No,No,Human,,,"Weldon, Kimberly B."
322,ds002685,https://openneuro.org/datasets/ds002685/versions/2.0.0,IBC,4/7/2020,4/7/2020,13,"MRI - func, MRI - anat, MRI - dwi",Healthy / Control,"26-34, 35-50","archi emotional, archi social, archi spatial, archi standard, auditory scene perception , attention networks test, movie watching task, biological motion task, breath-holding, Cattells Culture Fair Intelligence Test, clips watching, fixation task, Columbia Card Task, color discrimination task, retinotopy, Delay Discounting Titration, dot pattern expectancy task, emotion processing fMRI task paradigm, emotion expression identification, Pain-matrix narrative localizer, Enumeration task, object recognition task, motor fMRI task paradigm, HCP emotion, HCP gambling, HCP langage, HCP motor, HCP relational, HCP social, HCP WM, Movie Watching task, reading (covert), selective attention task, visual search task, Fictitious event ordering, verbal working memory task, item recognition task, Visual short term memory task, Mathlang, motion discrimination task, gambling fMRI task paradigm, pleasantness rating task, RSVP language, film viewing, rest eyes open, stop signal task, self, scene recognition task, navigation task, Stroop task, Stroop task , theory of mind task, stop signal task , object decision task, Tower of Hanoi",,,all cognitive domains,No,No,Human,10.1038/sdata.2018.105,,"Thirion, Bertrand"
