"Title","Investigator","Institute","Fiscal Year","FOA Number","Funded Status","Project Number","Priority Area","Application ID"
"Neurostimulation and Recording of Real World Spatial Navigation in Humans","Suthana, Nanthia A","University Of California Los Angeles","2017","RFA-NS-17-019","Active","1U01NS103802-01","Human NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural Activity","9421510"
"Understanding the synaptic, cellular and circuit events of MEG & EEG using a vertically translational cross-species approach","Doiron, Brent D. Salisbury, Dean F Teichert, Tobias  (contact)","University Of Pittsburgh At Pittsburgh","2017","RFA-MH-17-235","Active","1RF1MH114223-01","Monitor Neural ActivityIntegrated ApproachesHuman Neuroscience","9389644"
"A General Approach for the Development of New Cell-Type-Specific Viral Vectors","Greenberg, Michael E","Harvard Medical School","2017","RFA-MH-17-220","Active","1RF1MH114081-01","Cell TypeCircuit DiagramsMonitor Neural ActivityInterventional Tools","9380066"
"Impact of Timing, Targeting, and Brain State on rTMS of Human and Non-Human Primates","Sommer, Marc A","Duke University","2017","RFA-MH-17-245","Active","1RF1MH114253-01","Monitor Neural ActivityInterventional ToolsHuman Neuroscience","9390539"
"High density multielectrode arrays with spatially selective unidirectional and rotating fields for investigation of neuronal networks","Michaeli, Shalom","University Of Minnesota","2017","RFA-NS-17-003","Active","1U01NS103569-01","Interventional Tools","9405098"
"Split RNA polymerases for sensitive, multidimensional analysis of intercellular PPIs at synapses","Dickinson, Bryan  (contact) Ozkan, Engin","University Of Chicago","2017","RFA-MH-17-220","Active","1RF1MH114102-01","Cell TypeCircuit DiagramsMonitor Neural ActivityInterventional Tools","9380584"
"Large-scale analysis of functional synapses during circuit plasticity with novel optogenetic sensors","Zito, Karen","University Of California At Davis","2017","RFA-NS-17-003","Active","1U01NS103571-01","Interventional Tools","9405129"
"Optimization of multiphoton microscopy for large scale activity mapping in adult zebrafish","Fetcho, Joseph R. Xu, Chris  (contact)","Cornell University","2017","RFA-NS-17-004","Active","1U01NS103516-01","Monitor Neural ActivityInterventional Tools","9405203"
"Genetically-targeted hemodynamic functional imaging","Jasanoff, Alan","Massachusetts Institute Of Technology","2017","RFA-NS-17-003","Active","1U01NS103470-01","Interventional Tools","9404180"
"BIDS-Derivatives: A data standard for derived data and models in The BRAIN Initiative®","Poldrack, Russell A","Stanford University","2017","RFA-MH-17-256","Active","1R24MH114705-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9411944"
"Mechanism and dosimetry exploration in transcranial electrical stimulation using magnetic resonance current mapping methods.","Sadleir, Rosalind J","Arizona State University-tempe Campus","2017","RFA-MH-17-245","Active","1RF1MH114290-01","Monitor Neural ActivityInterventional ToolsHuman Neuroscience","9390711"
"Genetically encoded indicators for large-scale sensing of neuromodulatory signaling in behaving animals","Nimmerjahn, Axel Tian, Lin  (contact) Vonzastrow, Mark E Williams, John T","University Of California At Davis","2017","RFA-NS-17-004","Active","1U01NS103522-01","Monitor Neural ActivityInterventional Tools","9405342"
"Revealing circuit control of neuronal excitation with next-generation voltage indicators","Clandinin, Thomas Robert Lin, Michael Z. (contact)","Stanford University","2017","RFA-MH-17-220","Active","1RF1MH114105-01","Cell TypeCircuit DiagramsMonitor Neural ActivityInterventional Tools","9380741"
"Bringing laser focus to voltage imaging: Enhanced indicators and advanced scanning methods for two-photon recording of dense networks in vivo","Dieudonne, Stephane Lin, Michael Z. (contact)","Stanford University","2017","RFA-NS-17-004","Active","1U01NS103464-01","Monitor Neural ActivityInterventional Tools","9404267"
"Develop and validate novel chemogenetic tools to modulate synaptic transmission","Tomita, Susumu","Yale University","2017","RFA-MH-17-220","Active","1RF1MH114078-01","Cell TypeCircuit DiagramsMonitor Neural ActivityInterventional Tools","9379926"
"SELF-POWERED SENSING AND DATA-LOGGING FOR LARGE-SCALE IN-VIVO MONITORING OF NEURAL ENSEMBLE ACTIVITY","Chakrabartty, Shantanu","Washington University","2017","RFA-EY-17-001","Active","1R21EY028362-01","Monitor Neural ActivityInterventional Tools","9394416"
"A Cellular Resolution Census of the Developing Human Brain","Huang, Eric J Kriegstein, Arnold  (contact)","University Of California, San Francisco","2017","RFA-MH-17-210","Active","1U01MH114825-01","Cell TypeCircuit DiagramsHuman Neuroscience","9415877"
"Cortex-wide volumetric imaging of neuronal activity.","Vaziri, Alipasha","Rockefeller University","2017","RFA-NS-17-004","Active","1U01NS103488-01","Monitor Neural ActivityInterventional Tools","9404605"
"Decoding the neural basis of resting-state functional connectivity mapping","Hillman, Elizabeth M","Columbia University Health Sciences","2017","RFA-MH-17-235","Active","1RF1MH114276-01","Monitor Neural ActivityIntegrated ApproachesHuman Neuroscience","9390663"
"Using fMRI to Measure the Neural-level Signals Underlying Population-level Responses","Cowell, Rosemary Alice (contact) Huber, David Ernest","University Of Massachusetts Amherst","2017","RFA-MH-17-235","Active","1RF1MH114277-01","Monitor Neural ActivityIntegrated ApproachesHuman Neuroscience","9390666"
"Electrophysiological Biomarkers to Optimize DBS for Depression","Mayberg, Helen S","Emory University","2017","RFA-NS-17-006","Active","1UH3NS103550-01","Human NeuroscienceInterventional ToolsMonitor Neural Activity","9405277"
"Closing the Loop on Tremor: A Responsive Deep Brain Stimulator for the Treatment of Essential Tremor","Foote, Kelly D Gunduz, Aysegul  (contact)","University Of Florida","2016","RFA-NS-16-010","Active","1UH3NS095553-01A1","Human NeuroscienceInterventional ToolsMonitor Neural Activity","9266960"
"Flexible neural probe arrays for large-scale cortical and subcortical recording","Meng, Ellis","University Of Southern California","2016","RFA-NS-16-006","Active","1U01NS099703-01","Monitor Neural ActivityInterventional Tools","9231808"
"Novel Bayesian linear dynamical systems-based methods for discovering human brain circuit dynamics in health and disease","Menon, Vinod","Stanford University","2016","RFA-EB-15-006","Active","1R01EB022907-01","Integrated ApproachesTheory & Data Analysis Tools","9170593"
"Quiet TMS: A Low-Acoustic-Noise Transcranial Magnetic Stimulation System","Peterchev, Angel V","Duke University","2016","RFA-MH-16-810","Active","1R01MH111865-01","Interventional ToolsHuman Neuroscience","9229084"
"Realization of Optical Cell-based Reporters for in vivo Detection of Neuropeptides","Kleinfeld, David Slesinger, Paul A (contact)","Icahn School Of Medicine At Mount Sinai","2016","RFA-MH-16-775","Active","1R01MH111499-01","Cell TypeCircuit DiagramsMonitor Neural ActivityInterventional Tools","9213616"
"Neuromodulation by Transcranial Current Stimulation","Krekelberg, Bart","Rutgers The State Univ Of Nj Newark","2016","RFA-MH-16-815","Active","1R01MH111766-01","Interventional ToolsHuman Neuroscience","9225394"
"New approaches for better protein voltage sensors","Cohen, Lawrence B","Yale University","2016","RFA-NS-16-007","Active","1U01NS099691-01","Monitor Neural ActivityInterventional Tools","9231604"
"Embedded Ensemble Encoding","Antic, Srdjan D Lytton, William W (contact)","Suny Downstate Medical Center","2016","RFA-EB-15-006","Active","1R01EB022903-01","Integrated ApproachesTheory & Data Analysis Tools","9170558"
"Subthalamic and corticosubthalamic coding of speech production","Richardson, Robert Mark","University Of Pittsburgh At Pittsburgh","2016","RFA-NS-16-008","Active","1U01NS098969-01","Human NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural Activity","9205890"
"Spatiotemporal signatures of neural activity and neurophysiology in the BOLD signal","Keilholz, Shella D","Emory University","2016","RFA-MH-16-750","Active","1R01MH111416-01","Monitor Neural ActivityIntegrated ApproachesHuman Neuroscience","9205825"
"A unified cognitive network model of language","Crone, Nathan E Tandon, Nitin  (contact)","University Of Texas Hlth Sci Ctr Houston","2016","RFA-NS-16-008","Active","1U01NS098981-01","Human NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural Activity","9206024"
"Toward a Theory for Macroscopic Neural Computation Based on Laplace Transform","Howard, Marc W","Boston University (charles River Campus)","2016","RFA-EB-15-006","Active","1R01EB022864-01","Integrated ApproachesTheory & Data Analysis Tools","9170542"
"Dose Dependent Response of Cerebellar Transcranial Magnetic Stimulation","Halko, Mark A","Beth Israel Deaconess Medical Center","2016","RFA-MH-16-815","Active","1R01MH111868-01","Interventional ToolsHuman Neuroscience","9229124"
"Wearable Transcranial Focused Ultrasound System for Region-specific Functional Neuromodulation","Yoo, Seung-schik","Brigham And Women's Hospital","2016","RFA-MH-16-810","Active","1R01MH111763-01","Interventional ToolsHuman Neuroscience","9224456"
"Near Infrared Genetically Encoded Voltage Indicators (NIR-GEVIs) for All-Optical Electrophysiology (AOE)","Antic, Srdjan D Knopfel, Thomas  (contact) Verkhusha, Vladislav","U Of L Imperial Col Of Sci/technlgy/med","2016","RFA-NS-16-006","Active","1U01NS099573-01","Monitor Neural ActivityInterventional Tools","9229649"
"Human Neocortical Neurosolver","Hamalainen, Matti Hines, Michael L Jones, Stephanie Ruggiano (contact)","Brown University","2016","RFA-EB-15-006","Active","1R01EB022889-01","Integrated ApproachesTheory & Data Analysis Tools","9170003"
"Methods from Computational Topology and Geometry for Analysing Neuronal Tree and Graph Data","Mitra, Partha Pratim (contact) Wang, Yusu","Cold Spring Harbor Laboratory","2016","RFA-EB-15-006","Active","1R01EB022899-01","Integrated ApproachesTheory & Data Analysis Tools","9170501"
"Asynchronous distributed multielectrode neuromodulation for epilepsy","Devergnas, Annaelle Gross, Robert E (contact) Gutekunst, Claire-anne N Mahmoudi, Babak","Emory University","2016","RFA-NS-16-009","Active","1UG3NS100559-01","Human NeuroscienceInterventional ToolsMonitor Neural Activity","9266991"
"Development and dissemination of high speed 3D acousto-optic lens two-photon microscopy for in vivo imaging","Digregorio, David A Hausser, Michael Mrsic-flogel, Thomas O'keefe, John Silver, Robin Angus (contact)","University College London","2016","RFA-NS-16-007","Active","1U01NS099689-01","Monitor Neural ActivityInterventional Tools","9231530"
"Multiparametric Biosensor Imaging in Brain Slices","Blanpied, Thomas A Meredith, Andrea L Rizzo, Mark A (contact)","University Of Maryland Baltimore","2016","RFA-MH-16-775","Active","1R01MH111527-01","Cell TypeCircuit DiagramsMonitor Neural ActivityInterventional Tools","9214054"
"Wireless Photometry For In Vivo Behavorial Studies","Braun, Paul  (contact) Bruchas, Michael R","University Of Illinois At Urbana-champaign","2016","RFA-EY-16-001","Complete","1R21EY027612-01","Monitor Neural ActivityInterventional Tools","9244624"
"Multimodal modeling framework for fusing structural and functional connectome data","Nagarajan, Srikantan S. Raj, Ashish  (contact)","Weill Medical Coll Of Cornell Univ","2016","RFA-EB-15-006","Active","1R01EB022717-01","Integrated ApproachesTheory & Data Analysis Tools","9170597"
"Next-Generation Calcium Imaging Analysis Methods","Paninski, Liam M","Columbia Univ New York Morningside","2016","RFA-EB-15-006","Active","1R01EB022913-01","Integrated ApproachesTheory & Data Analysis Tools","9170669"
"Integrated fMRI Methods to Study Neurophysiology and Circuit Dynamics at Laminar and Columnar Level","Chen, Wei","University Of Minnesota","2016","RFA-MH-16-750","Active","1R01MH111413-01","Monitor Neural ActivityIntegrated ApproachesHuman Neuroscience","9205561"
"Rational Optimization of tACS for Targeting Thalamo-Cortical Oscillations","Frohlich, Flavio","Univ Of North Carolina Chapel Hill","2016","RFA-MH-16-815","Active","1R01MH111889-01","Interventional ToolsHuman Neuroscience","9229306"
"Dynamic Neural Mechanisms of Audiovisual Speech Perception","Schroeder, Charles E","Columbia University Health Sciences","2016","RFA-NS-16-008","Active","1U01NS098976-01","Human NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural Activity","9205991"
"Non-invasive neuromodulation mechanisms and dose/response metrics","Oathes, Desmond","University Of Pennsylvania","2016","RFA-MH-16-815","Active","1R01MH111886-01","Interventional ToolsHuman Neuroscience","9229276"
"Developing a noninvasive method to manipulate specific cell types within the mammalian brain","Chalasani, Sreekanth H.","Salk Institute For Biological Studies","2016","RFA-MH-16-775","Active","1R01MH111534-01","Cell TypeCircuit DiagramsMonitor Neural ActivityInterventional Tools","9214195"
"A tool-box to control and enhance tDCS spatial precision","Bikson, Marom","City College Of New York","2016","RFA-MH-16-810","Active","1R01MH111896-01","Interventional ToolsHuman Neuroscience","9229408"
"Clinical Testing of an Intracortical Visual Prosthesis System","Troyk, Philip R","Illinois Institute Of Technology","2016","RFA-NS-16-009","Active","1UG3NS095557-01A1","Human NeuroscienceInterventional ToolsMonitor Neural Activity","9266990"
"Adaptive DBS in Non-Motor Neuropsychiatric Disorders: Regulating Limbic Circuit Imbalance","Goodman, Wayne K","Baylor College Of Medicine","2016","RFA-NS-16-010","Active","1UH3NS100549-01","Human NeuroscienceInterventional ToolsMonitor Neural Activity","9266890"
"Beyond Diagnostic Classification of Autism: Neuroanatomical, Functional, and Behavioral Phenotypes","Fletcher, Preston Thomas","University Of Utah","2016","RFA-EB-15-006","Active","1R01EB022876-01","Integrated ApproachesTheory & Data Analysis Tools","9170673"
"Understanding the Neural Basis of Volitional State through Continuous Recordings in Humans","Cash, Sydney S","Massachusetts General Hospital","2016","RFA-NS-16-008","Active","1U01NS098968-01","Human NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural Activity","9205859"
"Micro-coil implants for cortical activation","Fried, Shelley","Massachusetts General Hospital","2016","RFA-NS-16-006","Active","1U01NS099700-01","Monitor Neural ActivityInterventional Tools","9231762"
"Network Connectivity Modeling of Heterogeneous Brain Data to Examine Ensembles of Activity Across Two Levels of Dimensionality","Gates, Kathleen","Univ Of North Carolina Chapel Hill","2016","RFA-EB-15-006","Active","1R01EB022904-01","Integrated ApproachesTheory & Data Analysis Tools","9170562"
"An optical-genetic toolbox for reading and writing neural population codes in functional maps","Geisler, Wilson S Seidemann, Eyal J (contact) Zemelman, Boris V","University Of Texas, Austin","2016","RFA-NS-16-007","Active","1U01NS099720-01","Monitor Neural ActivityInterventional Tools","9231976"
"Multi-channel MR-compatible flexible microelectrode for recording and stimulation","Franklin, Robert Kyle Shih, Yen-yu Ian (contact)","Blackrock Microsystems","2016","PAR-15-090","Active","1R41MH113252-01","Circuit DiagramsInterventional ToolsMonitor Neural Activity","9139158"
"Microscopic foundation of multimodal human imaging","Dale, Anders M Devor, Anna  (contact)","University Of California San Diego","2016","RFA-MH-16-750","Active","1R01MH111359-01","Monitor Neural ActivityIntegrated ApproachesHuman Neuroscience","9205149"
"Defining Neuronal Circuits and Cellular Processes Underlying Resting fMRI Signals","Milham, Michael Peter Schroeder, Charles E (contact)","Nathan S. Kline Institute For Psych Res","2016","RFA-MH-16-750","Active","1R01MH111439-01","Monitor Neural ActivityIntegrated ApproachesHuman Neuroscience","9206010"
"Genetically Encoded Localization Modules for Targeting Activity Probes to Specific Subcellular Sites in Brain Neurons","Trimmer, James S","University Of California At Davis","2016","RFA-NS-16-006","Active","1U01NS099714-01","Monitor Neural ActivityInterventional Tools","9231934"
"Integrated multichannel system for transcranial magnetic stimulation and parallel magnetic resonance imaging","Nummenmaa, Aapo","Massachusetts General Hospital","2016","RFA-MH-16-810","Active","1R01MH111829-01","Interventional ToolsHuman Neuroscience","9228799"
"Large-scale Network Modeling for Brain Dynamics: Statistical Learning and Optimization","Luo, Xi","Brown University","2016","RFA-EB-15-006","Active","1R01EB022911-01","Integrated ApproachesTheory & Data Analysis Tools","9170649"
"Large-scale, simultaneous intracellular recording and stimulation of neural activity","London, Michael Nelken, Israel Spira, Micha E. (contact)","Hebrew University Of Jerusalem","2016","RFA-NS-16-006","Active","1U01NS099687-01","Monitor Neural ActivityInterventional Tools","9231520"
"Neurons, Vessels and Voxels:  Multi-modal Imaging of Layer Specific Signals","Kara, Prakash Naselaris, Thomas P Olman, Cheryl A. Ugurbil, Kamil  (contact)","University Of Minnesota","2016","RFA-MH-16-750","Active","1R01MH111447-01","Monitor Neural ActivityIntegrated ApproachesHuman Neuroscience","9205563"
"MR-guided Focused Ultrasound Neuromodulation of Deep Brain Structures","Butts-pauly, Kim Butts","Stanford University","2016","RFA-MH-16-810","Active","1R01MH111825-01","Interventional ToolsHuman Neuroscience","9228441"
"Graph theoretical analysis of the effect of brain tumors on functional MRI networks","Holodny, Andrei I Makse, Hernan  (contact)","City College Of New York","2016","RFA-EB-15-006","Active","1R01EB022720-01","Integrated ApproachesTheory & Data Analysis Tools","9170604"
"A high-speed volumetric multiphoton microscope for the study of developing neural circuits in retina","Feller, Marla","University Of California Berkeley","2016","RFA-MH-16-725","Complete","1R03MH111314-01","Monitor Neural ActivityInterventional ToolsTheory & Data Analysis Tools","9203174"
"Functional Architecture of Speech Motor Cortex","Chang, Edward","University Of California, San Francisco","2016","RFA-NS-16-008","Active","1U01NS098971-01","Human NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural Activity","9205946"
"Optimal calcium imaging with shaped excitation","Paninski, Liam M Peterka, Darcy S (contact)","Columbia University Health Sciences","2016","RFA-EY-16-001","Complete","1R21EY027592-01","Monitor Neural ActivityInterventional Tools","9244502"
"Multi-Site Non-Invasive Magnetothermal Excitation and Inhibition of Deep Brain Structures","Anikeeva, Polina O (contact) Pralle, Arnd","Massachusetts Institute Of Technology","2016","RFA-MH-16-810","Active","1R01MH111872-01","Interventional ToolsHuman Neuroscience","9229172"
"Structure guided design of photoselectable channelrhodopsins","Cherezov, Vadim Hires, Samuel Andrew (contact) Katritch, Vsevolod Lin, John Yu-luen","University Of Southern California","2016","RFA-EY-16-001","Complete","1R21EY027620-01","Monitor Neural ActivityInterventional Tools","9244699"
"Integrating flexible neural probes with a giant cranial window for combined electrophysiology and 2-photon calcium imaging of cortex-hippocampal interactions","Golshani, Peyman","University Of California Los Angeles","2016","RFA-MH-16-725","Complete","1R03MH111241-01","Monitor Neural ActivityInterventional ToolsTheory & Data Analysis Tools","9197792"
"Emergent dynamics from network connectivity: a minimal model","Curto, Carina","Pennsylvania State University-univ Park","2016","RFA-EB-15-006","Active","1R01EB022862-01","Integrated ApproachesTheory & Data Analysis Tools","9170529"
"Development and validation of empirical models of the neuronal population activity underlying non-invasive human brain measurements","Devinsky, Orrin Dijkhuizen, Rick M Petridou, Natalia  (contact) Ramsey, Nicolas Franciscus Winawer, Jonathan A","University Medical Center Utrecht","2016","RFA-MH-16-750","Active","1R01MH111417-01","Monitor Neural ActivityIntegrated ApproachesHuman Neuroscience","9205830"
"Compressive Light Field microscopy for optogenetic neural activity tracking","Waller, Laura","University Of California Berkeley","2016","RFA-EY-16-001","Complete","1R21EY027597-01","Monitor Neural ActivityInterventional Tools","9244514"
"Combined  Cortical  and  Subcortical  Recording  and Stimulation  as  a  Circuit-Oriented  Treatment  for  Obsessive-Compulsive  Disorder","Dougherty, Darin D (contact) Eskandar, Emad N","Massachusetts General Hospital","2016","RFA-NS-16-010","Active","1UH3NS100548-01","Human NeuroscienceInterventional ToolsMonitor Neural Activity","9266864"
"Optimized dosing of repetitive transcranial magnetic stimulation for enhancement of hippocampal-cortical networks","Voss, Joel L","Northwestern University At Chicago","2016","RFA-MH-16-815","Active","1R01MH111790-01","Interventional ToolsHuman Neuroscience","9226273"
"Neuronal Substrates of Hemodynamic Signals in the Prefrontal Cortex","Howard, Matthew A. O'doherty, John P (contact) Tsao, Doris Ying","California Institute Of Technology","2016","RFA-MH-16-750","Active","1R01MH111425-01","Monitor Neural ActivityIntegrated ApproachesHuman Neuroscience","9205919"
"Establishing a dose response for ultrasound neuromodulation","Caskey, Charles F (contact) Chen, Li Min","Vanderbilt University Medical Center","2016","RFA-MH-16-815","Active","1R01MH111877-01","Interventional ToolsHuman Neuroscience","9229212"
"Development of an integrated array for simultaneous optogenetic stimulation and electrical recording to study cortical circuit function in the non-human primate brain","Angelucci, Alessandra Blair, Steven M (contact) Rieth, Loren","University Of Utah","2016","RFA-NS-16-007","Active","1U01NS099702-01","Monitor Neural ActivityInterventional Tools","9231778"
"NeuroGrid: a scalable system for large-scale recording of action potentials from the brain surface","Buzsaki, Gyorgy  (contact) Devinsky, Orrin","New York University School Of Medicine","2016","RFA-NS-16-007","Active","1U01NS099705-01","Monitor Neural ActivityInterventional Tools","9231840"
"Imaging adult-born neurons in action using head-mounted minimicroscopes","Drew, Michael R","University Of Texas, Austin","2016","RFA-MH-16-725","Complete","1R03MH111321-01","Monitor Neural ActivityInterventional ToolsTheory & Data Analysis Tools","9203497"
"Microdevice mediated functional brain imaging with high temporal and spatial resolution","Wong, Eric C","University Of California San Diego","2016","RFA-EY-16-001","Complete","1R21EY027609-01","Monitor Neural ActivityInterventional Tools","9244601"
"Rapid Electrode Multiplexing for Scalable Neural Recording","Walker, Ross M","University Of Utah","2016","RFA-EY-16-001","Complete","1R21EY027618-01","Monitor Neural ActivityInterventional Tools","9244654"
"Diagnosis of Alzheimer's Disease Using Dynamic High-Order Brain Networks","Shen, Dinggang  (contact) Yap, Pew-thian","Univ Of North Carolina Chapel Hill","2016","RFA-EB-15-006","Active","1R01EB022880-01","Integrated ApproachesTheory & Data Analysis Tools","9170149"
"EFFECTIVE CONNECTIVITY IN BRAIN NETWORKS: Discovering Latent Structure, Network Complexity and Recurrence.","Hanson, Stephen Jose","Rutgers The State Univ Of Nj Newark","2016","RFA-EB-15-006","Active","1R01EB022858-01","Integrated ApproachesTheory & Data Analysis Tools","9170388"
"Improving Human fMRI through Modeling and Imaging Microvascular Dynamics","Polimeni, Jonathan Rizzo","Massachusetts General Hospital","2016","RFA-MH-16-750","Active","1R01MH111419-01","Monitor Neural ActivityIntegrated ApproachesHuman Neuroscience","9205860"
"Wide deployment of massively multiplexed nanosystems for brain activity mapping","Roukes, Michael L (contact) Shepard, Kenneth L","California Institute Of Technology","2016","RFA-NS-16-007","Active","1U01NS099726-01","Monitor Neural ActivityInterventional Tools","9232017"
"Towards deep brain monitoring with superficial EEG sensors plus neuromodulatory focused ultrasound","Mourad, Pierre D","University Of Washington","2016","RFA-EY-16-001","Complete","1R21EY027557-01","Monitor Neural ActivityInterventional Tools","9243609"
"Resting state connectivity: Biophysical basis for and improved fMRI measurements","Kleinfeld, David  (contact) Rosen, Bruce R","University Of California San Diego","2016","RFA-MH-16-750","Active","1R01MH111438-01","Monitor Neural ActivityIntegrated ApproachesHuman Neuroscience","9206009"
"Deep cerebellar electrical stimulation for post-stroke motor recovery","Baker, Kenneth B Machado, Andre Guelman (contact)","Cleveland Clinic Lerner Com-cwru","2016","RFA-NS-16-010","Active","1UH3NS100543-01","Human NeuroscienceInterventional ToolsMonitor Neural Activity","9266613"
"In situ transcriptional analysis of brain circuits at single cell resolution","Dulac, Catherine G (contact) Regev, Aviv Zhuang, Xiaowei","Harvard University","2016","RFA-MH-16-775","Active","1R01MH111502-01","Cell TypeCircuit DiagramsMonitor Neural ActivityInterventional Tools","9213716"
"Filtered Point Process Inference Framework for Modeling Neural Data","Brown, Emery N.","Massachusetts General Hospital","2016","RFA-EB-15-006","Active","1R01EB022726-01","Integrated ApproachesTheory & Data Analysis Tools","9170395"
"Spatiotemporal control of large neuronal networks using high dimensional optimization","Ching, Shinung Li, Jr-shin Ritt, Jason T (contact)","Boston University (charles River Campus)","2016","RFA-EY-16-001","Complete","1R21EY027590-01","Monitor Neural ActivityInterventional Tools","9244496"
"BioLuminescent OptoGenetics (BL-OG): A Novel and Versatile Strategy for Neuromodulation","Hochgeschwender, Ute H (contact) Moore, Christopher I Shaner, Nathan Christopher","Central Michigan University","2016","RFA-NS-16-007","Active","1U01NS099709-01","Monitor Neural ActivityInterventional Tools","9231901"
"Chemogenetic Dissection of Neuronal and Astrocytic Compartment of the BOLD Signal","Shih, Yen-yu Ian","Univ Of North Carolina Chapel Hill","2016","RFA-MH-16-750","Active","1R01MH111429-01","Monitor Neural ActivityIntegrated ApproachesHuman Neuroscience","9205952"
"Neural activity integration during user defined epochs with modular reporters","Laughlin, Scott T.","State University New York Stony Brook","2016","RFA-EY-16-001","Complete","1R21EY027578-01","Monitor Neural ActivityInterventional Tools","9244345"
"Technologies for spatiotemporally precise & closed-loop control of selected neurons to prevent epileptic seizures","Ahmed, Omar Jamil","University Of Michigan","2016","RFA-MH-16-725","Complete","1R03MH111316-01","Monitor Neural ActivityInterventional ToolsTheory & Data Analysis Tools","9203299"
"Bayesian estimation of network connectivity and motifs","Ringach, Dario L","University Of California Los Angeles","2016","RFA-EB-15-006","Active","1R01EB022915-01","Integrated ApproachesTheory & Data Analysis Tools","9170679"
"Invasive Approach to Model Human Cortex-Basal Ganglia Action-Regulating Networks","Pouratian, Nader","University Of California Los Angeles","2016","RFA-NS-16-008","Active","1U01NS098961-01","Human NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural Activity","9205422"
"ECT current amplitude and medial temporal lobe engagement","Abbott, Chris C","University Of New Mexico Health Scis Ctr","2016","RFA-MH-16-815","Active","1R01MH111826-01","Interventional ToolsHuman Neuroscience","9228452"
"Dexterous BMIs for tetraplegic humans utilizing somatosensory cortex stimulation","Andersen, Richard A","California Institute Of Technology","2016","RFA-NS-16-008","Active","1U01NS098975-01","Human NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural Activity","9205978"
"Wireless recording in the central nervous system with ultrasonic neural dust","Carmena, Jose Miguel","University Of California Berkeley","2016","RFA-EY-16-001","Complete","1R21EY027570-01","Monitor Neural ActivityInterventional Tools","9244253"
"Next-gen Opto-GPCRs: spatiotemporal simulation of neuromodulator signaling","Bruchas, Michael R (contact) Sunahara, Roger K","Washington University","2016","RFA-MH-16-775","Active","1R01MH111520-01","Cell TypeCircuit DiagramsMonitor Neural ActivityInterventional Tools","9213972"
"Mapping and controlling gene expression in inhibitory interneurons mammals","Fishell, Gordon J","New York University School Of Medicine","2016","RFA-MH-16-775","Complete","1R01MH111529-01","Cell TypeCircuit DiagramsMonitor Neural ActivityInterventional Tools","9214089"
"Learning spatio-temporal statistics from the environment in recurrent networks","Brunel, Nicolas Shouval, Harel Zeev (contact)","University Of Texas Hlth Sci Ctr Houston","2016","RFA-EB-15-006","Active","1R01EB022891-01","Integrated ApproachesTheory & Data Analysis Tools","9170047"
"Concurrent multiphoton microscopy and magnetic resonance imaging (COMPMRI)","Wang, Yi Xu, Chris  (contact)","Cornell University","2016","RFA-EY-16-001","Complete","1R21EY027568-01","Monitor Neural ActivityInterventional Tools","9244236"
"Foundations of MRI Corticography for mesoscale organization and neuronal circuitry","Feinberg, David Alan","University Of California Berkeley","2016","RFA-MH-16-750","Active","1R01MH111444-01","Monitor Neural ActivityIntegrated ApproachesHuman Neuroscience","9206105"
"Understanding evoked and resting-state fMRI through multi scale imaging","Constable, R. Todd (contact) Crair, Michael Hyder, Dewan Syed Fahmeed","Yale University","2016","RFA-MH-16-750","Active","1R01MH111424-01","Monitor Neural ActivityIntegrated ApproachesHuman Neuroscience","9205912"
"Optimizing peripheral stimulation parameters to modulate the sensorimotor cortex for post-stroke motor recovery","Ganguly, Karunesh","University Of California, San Francisco","2016","RFA-MH-16-815","Active","1R01MH111871-01","Interventional ToolsHuman Neuroscience","9229152"
"Noninvasive Biomarkers to Advance Emerging DBS Electrode Technologies in Parkinson's Disease","Walker, Harrison Carroll","University Of Alabama At Birmingham","2016","RFA-NS-16-010","Active","1UH3NS100553-01","Human NeuroscienceInterventional ToolsMonitor Neural Activity","9266940"
"Optogenetic signaling inhibitors for studying brain plasticity","Gan, Wenbiao Yasuda, Ryohei  (contact)","Max Planck Florida Corporation","2016","RFA-MH-16-775","Active","1R01MH111486-01","Cell TypeCircuit DiagramsMonitor Neural ActivityInterventional Tools","9212998"
"High-density microfiber interfaces for deep brain optical recording and stimulation","Gardner, Timothy James","Boston University (charles River Campus)","2016","RFA-EY-16-001","Complete","1R21EY027588-01","Monitor Neural ActivityInterventional Tools","9244484"
"Imaging the Neural Effects of Transcranial Direct Current Stimulation","Schlaug, Gottfried","Beth Israel Deaconess Medical Center","2016","RFA-MH-16-815","Active","1R01MH111874-01","Interventional ToolsHuman Neuroscience","9229183"
