ID,ACT_CATEGORY,ACT_CODE,ACT_TITLE,ACT_DESCRIPTION,ACT_WEB_ADDRESS
136,Research Projects,R49,Injury Control Research and Demonstration Projects and Injury Prevention Research Centers,"Provides financial assistance to non-profit and for-profit organizations to conduct research and demonstration projects as well as training programs to develop a comprehensive and integrated approach to injury control. These projects will integrate aspects of the disciplines of engineering, public health, behavioral sciences, medicine, and others in order to prevent and control injuries.",
246,Research Projects,R50,Research Specialist Award,"The Research Specialist Award is designed to encourage the development of stable research career opportunities for exceptional scientists who want to pursue research within the context of an existing research program, but not serve as Principal Investigators. The Award is intended to provide desirable salaries and sufficient autonomy so that individuals are not solely dependent on grants held by Principal Investigators for career continuity.",
68,Research Projects  ,R55 ,James A. Shannon Director's Award,"To provide a limited award to investigators to further develop, test, and refine research techniques; perform secondary analysis of available data sets;  test the feasibility of innovative and creative approaches;  and conduct other discrete projects that can  demonstrate their research capabilities and lend additional weight to their already meritorious applications.",
69,Research Projects  ,R56,"High Priority, Short Term Project Award",To provide limited interim research support based on the merit of a pending R01 application while applicant gathers additional data to revise a new or competing renewal application. This grant will underwrite highly meritorious applications that if given the opportunity to revise their application could meet IC recommended standards and would be missed opportunities if not funded. Interim funded ends when the applicant succeeds in obtaining an R01 or other competing award built on the R56 grant. These awards are not renewable.,http://grants.nih.gov/grants/funding/r56.htm
244,Research Projects,R61,Phase 1 Exploratory/Developmental Grant,"As part of a bi-phasic approach to funding exploratory and/or developmental research, the R61 provides support for the first phase of the award. This activity code is used in lieu of the R21 activity code when larger budgets and/or project periods are required to establish feasibility for the project.",
70,Research Projects  ,R90,Interdisciplinary Regular Research Training Award ,"To support comprehensive interdisciplinary research training programs at the undergraduate, predoctoral and/or postdoctoral levels, by capitalizing on the infrastructure of existing multidisciplinary and interdisciplinary research programs.  This Activity Code is for trainees who do not meet the qualifications for NRSA authority.",
196,Research Projects,RC1,NIH Challenge Grants and Partnerships Program,NIH Challenge Grants in Health and Science Research ,
205,Research Projects,RC2,High Impact Research and Research Infrastructure Programs,"To support high impact ideas that may lay the foundation for new fields of investigation; accelerate breakthroughs; stimulate early and applied research on cutting-edge technologies; foster new approaches to improve the interactions among multi- and interdisciplinary research teams; or, advance the research enterprise in a way that could stimulate future growth and investments and advance public health and health care delivery.  This activity code could support either a specific research question or propose the creation of a unique infrastructure/resource designed to accelerate scientific progress in the future.",
206,Research Projects,RC3,"Biomedical Research, Development, and Growth to Spur the Acceleration of New Technologies (BRDG-SPAN) Program","To accelerate the transition of NIH-supported research innovations and technologies toward the development of products or services that will improve human health, through grants that may advance the mission of NIH and its Institutes and Centers (ICs), and create significant value and economic stimulus or, advance the research enterprise in a way that could stimulate future growth and investments and advance public health and health care delivery.  This activity code is intended to support research and development (R&D) specifically targeted at activities that can help address the funding gap between promising R&D and transitioning to the market, often called the “Valley of Death” by contributing the critical funding needed by applicants to pursue the next appropriate milestone(s) toward ultimate commercialization; i.e., to carry out later stage research activities necessary to that end; to foster partnerships among a variety of research and development (R&D) collaborators working toward these aims. Awards are made only to U.S.-owned, for-profit enterprises doing a majority of its business in the United States. RC3 applications may be given funding priority if the applicant organization is associated with an enterprise that is of small size (e.g., 500 or fewer employees), and/or of limited resources, such as an early-stage company, and/or one positioned for receiving funding or in-kind support from a third-party investor and/or strategic partner. The RC3 SPAN program is not intended to support “upstream” R&D for doing feasibility testing of an innovative idea or to conduct early-stage R&D as an extension of such ideas. (Projects such as these should be submitted under the NIH SBIR/STTR programs.)",
209,Research Projects,RC4,High Impact Research and Research Infrastructure Programs—Multi-Yr Funding,"To support multi-year funded research with high impact ideas that may lay the foundation for new fields of investigation; accelerate breakthroughs; stimulate early and applied research on cutting-edge technologies; foster new approaches to improve the interactions among multi- and interdisciplinary research teams; or, advance the research enterprise in a way that could stimulate future growth and investments and advance public health and health care delivery. This activity code could support either a specific research question or propose the creation of a unique infrastructure/resource designed to accelerate scientific progress in the future. It is the multi-year funded companion activity code to the existing RC2; thus ICs need OER prior approval to use the RC4.",
223,Research Projects,RF1,Multi-Year Funded Research Project Grant,"To support a discrete, specific, circumscribed project to be performed by the named investigator(s) in an area representing specific interest and competencies based on the mission of the agency, using standard peer review criteria.  This is the multi-year funded equivalent of the R01 but can be used also for multi-year funding of other research project grants such as R03, R21 as appropriate.",
71,Research Projects  ,RL1 ,Linked Research project Grant,"To support a discrete, specified, circumscribed project that is administratively linked to another project or projects, and to be performed by the named investigator(s) in an area representing his or her specific interest and competencies. An RL1 award may only be disaggregated from U54 application and organizations may not apply for an RL1, Linked Research Project Grant. The RL1 activity code is used in Lieu of the R01 for those programs that offer linked awards.",
72,Research Projects  ,RL2 ,Linked Exploratory/Development Grant ,"To encourage the development of new research activities in categorical program areas. (Support generally is restricted in level of support and in time). The grant is administratively linked to another project or projects. An RL2 award may only be disaggregated from a U54 application and organizations may not apply for an RL2, Linked Exploratory/Development Grant. The RL2 activity code is used in lieu of the R21 for those programs that offer linked awards.",
73,Research Projects  ,RL5 ,Linked Education Project ,"For support to develop and/or implement a program as it relates to a category in one or more of the areas of education, information, training, technical assistance, coordination, or evaluation.  The grant is administratively linked to another project or projects.  A RL5 award may only be disaggregated from a U54 application and organizations may not apply for an RL5, Linked Education Project.  The RL5 is used in lieu of the R25 for those programs that offer linked awards.",
74,Research Projects  ,RL9 ,Linked Research Training Award,"To support comprehensive interdisciplinary research training programs at the undergraduate, pre-doctoral and/or postdoctoral levels, by capitalizing on the infrastructure of existing multidisciplinary and interdisciplinary research programs. The RL9 is for trainees who do not meet the qualifications for NRSA authority.  The training program is administratively linked to another project or projects.  An RL9 award may only be disaggregated from a U54 application and organizations may not apply for an RL9, Linked Research Training Award.  The RL9 is used in lieu of the R90 for those programs that offer linked awards.",
233,Research Projects,RM1,Research Project with Complex Structure,To support a large-scale research project with a complex structure that cannot be appropriately categorized into an available single component activity code. The performance period may extend up to seven years but only through the established deviation request process.  ICs desiring to use this activity code for programs greater than 5 years must receive OPERA prior approval through the deviation request process.,
75,Research Projects  ,RS1,Programs to Prevent the Emergence and Spread of Antimicrobial Resistance in the United States ,"Develop, implement, and evaluate an antimicrobial project to prevent and control the emergence, prevalence, and spread of antimicrobial resistance in rural areas, and microbiologic mechanisms of dissemination of antimicrobial resistance genes and the relationship to antimicrobial drug use.",
76,Research-Related Programs,S06,Minority Biomedical Research Support - MBRS,"To strengthen the biomedical research and research training capability of ethnic minority institutions, and thus establish a more favorable milieu for increasing the involvement of minority faculty and students in biomedical research.",
213,Research-Related Programs,S07,Biomedical Research Support Grants,"To strengthen, balance, and stabilize Public Health Service supported biomedical and behavioral research programs at qualifying institutions through flexible funds, awarded on a formula basis, that permit grantee institutions to respond quickly and effectively to emerging needs and opportunities, to enhance creativity and innovation, to support pilot studies, and to improve research resources, both physical and human.",
77,Research-Related Programs,S10,Biomedical Research Support Shared Instrumentation Grants ,"To make available to institutions with a high concentration of NIH extramural research awards, research instruments which will be used on a shared basis.",
78,Research-Related Programs,S11,Minority Biomedical Research Support Thematic Project Grants,To promote increased faculty and interdepartmental collaboration through programs that focus on specific research themes or scientific disciplines at developing minority institutions.  These  grants are intended to strengthen the biomedical research capability in defined areas and to attract other competent biomedical scientists through an improved research environment.,
79,Research-Related Programs,S21,Research and Institutional Resources Health Disparities Endowment Grants -Capacity Building,"To strengthen the research and training infrastructure of the institution, while addressing current and emerging needs in minority  health and other health disparities research.",
80,Research-Related Programs,S22           ,Research and Student Resources Health Disparities Endowment Grants - Educational Programs,To increase the investment in student-centered programs: to improve the academic success of underrepresented minorities and    socio-economically disadvantaged individuals in biomedical and bio-behavioral fields of study.,
242,Research Projects,SB1,Commercialization Readiness Program,"To support follow-on awards to small businesses for technology development, testing, evaluation, and commercialization assistance for SBIR or STTR Phase II technologies or for awards to small businesses to support the progress of research, research and development, and commercialization conducted under the SBIR or STTR programs to Phase III.",
81,Research-Related Programs,SC1,Research Enhancement Award,Individual investigator-initiated research projects aimed at developing researchers at minority-serving institutions (MSIs) to a stage where they can transition successfully to other     s extramural support (R01 or equivalent).,
82,Research-Related Programs,SC2,Pilot Research Project ,Individual investigator-initiated pilot research projects for faculty at MSIs to generate preliminary data for a more ambitious research project.,
83,Research-Related Programs,SC3,Research Continuance Award ,Individual investigator-initiated research projects for faculty at MSIs to conduct research of limited scope in environments with limited research infrastructure/facilities.,
220,Research-Related Programs,SI2,Intramural Clinical Scholar Research Award,This program will encourage exceptionally talented clinical researchers to conduct research in the Intramural Research Program for a specified period of time who will then be able to work with an extramural institution to develop an independent research grant application for follow-on support.  This code can only be used as phase 1 (intramural) of a 2-phase intramural/extramural program. No extramural award can be issued using this activity code.  NIH Intramural and OPERA prior approval is required to use this activity code.,
138,Training Programs,T01,Graduate Training Program,"To assist and extend training of individuals preparing for research and academic careers in fundamental, preclinical, clinical, public health, and other disciplines related to the area of interest of the awarding Institute/Division.",
139,Training Programs,T02,Undergraduate Training Program,To assist qualified institutions to improve and expand the training of undergraduate students in disciplines related to an area of interest of the awarding Institute/Division.,http://grants.nih.gov/training/extramural.htm
140,Training Programs,T09,Scientific Evaluation,To provide the chairman of the training committee funds for operation of the review group.,http://grants.nih.gov/training/extramural.htm
84,Training Programs,T14,Conferences,"For support of international and national meetings, conferences and workshops.",http://grants.nih.gov/training/extramural.htm
85,Training Programs,T15,Continuing Education Training Grants,"To assist professional schools and other public and nonprofit institutions to establish, expand, or improve programs of continuing professional education, especially for programs of extensive continuation, extension, or refresher education dealing with new developments in the science of technology of the profession.",http://grants.nih.gov/training/t15.htm
86,Training Programs,T32,Institutional National Research Service Award,To enable institutions to make National Research Service Awards to individuals selected by them for predoctoral and postdoctoral research training in specified shortage areas.,http://grants.nih.gov/training/T_Table.htm
87,Training Programs,T34,Undergraduate NRSA Institutional Research Training Grants,"To enhance the undergraduate research training of individuals from groups underrepresented in biomedical, behavioral, clinical and social sciences through Institutional National Research Service Award Training Grants, in preparation for research doctorate degree programs.",http://grants.nih.gov/training/T_Table.htm
88,Training Programs,T35,NRSA Short -Term Research Training,To provide individuals with research training during off-quarters or summer periods to encourage research careers and/or research in areas of national need.,http://grants.nih.gov/training/T_Table.htm
90,Training Programs,T37,Minority International Research Training Grants (FIC),Institutional training grants awarded to domestic institutions supporting opportunities for biomedical and behavioral research training for minority students and faculty members at foreign sites.,http://grants.nih.gov/training/extramural.htm
141,Training Programs,T42,Educational Resource Center Training Grants,"To provide assistance to regional centers in developing specialized personnel in the occupational safety and health field with academic training, research training, and continuing education and outreach in industrial hygiene, occupational health nursing, occupational medicine, and occupational safety.",http://grants.nih.gov/training/extramural.htm
91,Training Programs,T90,Interdisciplinary Research Training Award,"To support comprehensive interdisciplinary research training programs at the undergraduate, predoctoral and/or postdoctoral levels, by capitalizing on the infrastructure of existing multidisciplinary and interdisciplinary research programs.",http://grants.nih.gov/training/T_Table.htm
92,Training Programs,TL1 ,Linked Training Award,"To support research training experiences for pre-doctoral trainees who are interested in pursuing research careers in multi-disciplinary clinical and translational science. The training award is administratively linked to another project or projects. A TL1 award may only be disaggregated from a U54 application and organizations may not apply for a TL1, Linked Training Award. The TL1 is used in lieu of the T32 for those programs that offer linked awards.",http://grants.nih.gov/training/extramural.htm
235,Training Programs,TL4,Undergraduate NRSA Institutional Research Training Grants,"To enhance the undergraduate research training of individuals from groups underrepresented in biomedical, behavioral, clinical and social sciences through Institutional National Research Service Award Training Grants, in preparation for research doctorate degree programs.  This is the linked equivalent of the T34.",http://grants.nih.gov/training/T_Table.htm
137,Training Programs,TU2,Institutional National Research Service Award with Involvement of NIH Intramural Faculty,"The cooperative agreement counterpart to the T32, this award enables institutions to provide research-training experiences for graduate students and postdoctoral scientists in specified shortage areas. In addition, these awards involve identified NIH Intramural Staff who serve as a part of the training faculty and participate in the operation of the training program.",http://grants.nih.gov/training/extramural.htm
93,Cooperative Agreements ,U01,Research Project--Cooperative Agreements,"To support a discrete, specified, circumscribed project to be performed by the named investigator(s) in an area representing his or her specific interest and competencies.",http://grants.nih.gov/grants/funding/funding_program.htm#u01
94,Cooperative Agreements ,U09,Scientific Review and Evaluation--Cooperative Agreements,To provide the chairman of an initial review group funds for operation of the review group.,
95,Cooperative Agreements ,U10,Cooperative Clinical Research--Cooperative Agreements,"To support clinical evaluation of various methods of therapy and/or prevention in specific disease areas.  These represent cooperative programs between sponsoring institutions and participating principal investigators, and are usually conducted under established protocols.",
149,Cooperative Agreements,U11,Study (in China) of Periconceptional Vitamin Supplements to Prevent Spina Bifida and Anencephaly Cooperative Agreements,"In cooperation with the Beijing Medical University (BMU) of the People’s Republic of China, to support a project undertaken by BMU to conduct a randomized controlled trial in china to determine whether vitamins, taken before pregnancy begins and through the first trimester, prevent spina bifida and anencephaly. The project will consist of an initial preparation stage and a 1-2 year pilot study which will document the potential for a full-scale randomized controlled trial.",
96,Cooperative Agreements ,U13,Conference--Cooperative Agreements,"To support international, national or regional meetings, conferences and workshops where substantial programmatic involvement is planned to assist the recipient.",http://grants.nih.gov/grants/funding/r13/index.htm
150,Cooperative Agreements,U17,Applied Methods in Violence-Related or Accidental Injury Surveillance Cooperative Agreements,"Provides financial assistance to State and territorial health agencies to develop, implement, and/or evaluate new or existing methods and techniques used in accidental-injury and violence-related injury surveillance and /or prevention. Such injuries include violence against women; alcohol or firearm-related injury; bicycle or automobile-occupant injury; fire-related burns; head and spinal cord injury, and others. These methods and techniques are applicable to statewide injury surveillance systems and are replicable in other public health jurisdictions.",
97,Cooperative Agreements ,U18,Research Demonstration--Cooperative Agreements,"To provide support for testing, by means of a research design, the effectiveness of the transfer and application of techniques or interventions derived from a research base for the control of diseases or disorders or for the promotion of health.  The project should be capable of making conclusions which are generalizable to other sites.  These are usually cooperative programs between participating principal investigators, institutions, and the sponsoring Institute(s).",
98,Cooperative Agreements ,U19,Research Program--Cooperative Agreements,"To support a research program of multiple projects directed toward a specific major objective, basic theme or program goal, requiring a broadly based, multidisciplinary and often long-term approach. A cooperative agreement research program generally involves the organized efforts of large groups, members of which are conducting research projects designed to elucidate the various aspects of a specific objective. Substantial Federal programmatic staff involvement is intended to assist investigators during performance of the research activities, as defined in the terms and conditions of award. The investigators have primary authorities and responsibilities to define research objectives and approaches, and to plan, conduct, analyze, and publish results, interpretations and conclusions of their studies. Each research project is usually under the leadership of an established investigator in an area representing his/her special interest and competencies. Each project supported through this mechanism should contribute to or be directly related to the common theme of the total research effort. The award can provide support for certain basic shared resources, including clinical components, which facilitate the total research effort. These scientifically meritorious projects should demonstrate an essential element of unity and interdependence.",
151,Cooperative Agreements,U1A,Capacity Building for Core Components of Tobacco Prevention and Control Programs Cooperative Agreements,"In cooperation with Stat health agencies, to 1) supplement existing tobacco control efforts and provide assistance in the development of the essential components of a comprehensive public health tobacco control program, or 2) develop the infrastructure in preparation for carrying out a tobacco control program.",
217,Cooperative Agreements,U1B,Cooperative Agreement for Research and Surveillance Activities to Reduce the Incidence of HIV/AIDS ,"In cooperation with State and local public health authorities and other non-profit organizations, to assist in detecting and preventing the further spread of AIDS/HIV through research and active surveillance. ",
152,Cooperative Agreements,U1Q,Emergency Disaster Relief Relating to CDC Programs Cooperative Agreement,"In cooperation with eligible State health departments, to provide assistance to States impacted by designated natural disasters to assess the health threats and address health issues associated with the disaster, and to restore CDC-related public health programs that were impacted by the disaster.",
153,Cooperative Agreements,U1V,Capacity Building for Core Components of Tobacco Prevention and Control Programs Cooperative Agreements,"In cooperation with Stat health agencies, to 1) supplement existing tobacco control efforts and provide assistance in the development of the essential components of a comprehensive public health tobacco control program, or 2) develop the infrastructure in preparation for carrying out a tobacco control program.",
154,Cooperative Agreements,U21,"Immunization Service for Racial and Ethnic Minorities, Cooperative Agreements",(Definition not available),
155,Cooperative Agreements,U22,HIV/STD Preventive Services for Racial and Minorities,(Definition not available),
156,Cooperative Agreements,U23,TB Prevention and Control Services for Racial and Ethnic Minorities Cooperative Agreements,"In cooperation with national and regional racial and ethnic minority nonprofit organizations, to strengthen and increase the effectiveness of tuberculosis prevention and treatment services for racial and ethnic minority populations (especially the 25-44 years old age group); to improve organizational capabilities, programmatic efforts, and coordination of tuberculosis awareness; and to promote tuberculosis prevention and control, information dissemination, and training and education.",
99,Cooperative Agreements ,U24,Resource-Related Research Projects--Cooperative Agreements,To support research projects contributing to improvement of the capability of resources to serve biomedical research.,
157,Cooperative Agreements,U27,Surveillance of Complications of Hemophilia Cooperative Agreements,"In cooperation with State public health agencies, to characterize the epidemiology of hemophilia and its complications by using surveillance methodologies such as data collection, interviews, and progress reports. The data collected through this program can assist hemophilia treatment providers and States in developing, implementing, and evaluating education and prevention programs designed to reduce the morbidity, mortality, and costs of hemophilia and its complications.",
231,Cooperative Agreements,U2C,Resource-Related Research Multi-Component Projects and Centers Cooperative Agreements,"To support multi-component research resource projects and centers that will enhance the capability of resources to serve biomedical research. Substantial federal programmatic staff involvement is intended to assist investigators during performance of the research activities, as defined in the terms and conditions of the award. ",
261,Research Projects,U2F,Food Safety Capacity and Infrastructure Building,"To build food safety capacity and infrastructure by assisting State, locality, territory, Indian tribe, or nonprofit food safety training entity that collaborates with 1 or more institutions of higher education to undertake food safety inspections, investigations, and examinations; train to the standards established by the HHS Secretary; build lab capacity; and respond to notifications received under Section 1008 and recalls.",
100,Cooperative Agreements ,U2G,Global HIV/AIDS Non-Research Cooperative Agreements,"In cooperation with other countries, international organizations, and other partners to conduct HIV/AIDS prevention, care and treatment of non-research activities in international countries most heavily affected by the HIV/AIDS epidemic.",
101,Cooperative Agreements ,U2R,International Research Training Cooperative Agreements,Cooperative agreement mechanism for D43 to support research training programs for US and foreign professionals and students to strengthen global health research and international research collaboration.,
158,Cooperative Agreements,U30,"Prev. Health Services: Venereal Disease Research, Demonstration, and Public Information and Education Projects","Cooperative Agreements to provide assistance to programs designed for the conduct of research, demonstration, and public information and education for the prevention and control of venereal disease.",
159,Cooperative Agreements,U32,State-based Diabetes Control Programs,"In cooperation with State health agencies: To reduce the effect of preventable problems in service delivery to diabetics (such as excess days of hospitalization, high amputation rates, and the effect of insurance policy on securing care), to define the preventable service delivery problems, and to demonstrate improved service delivery to diabetics.",
187,Cooperative Agreements,U34,Planning Cooperative Agreement,"This cooperative agreement would provide support, substantial Federal programmatic involvement, and technical assistance for the initial development of a clinical trial or research project. Also, it would include the establishment of the research team; the development of tools for data management and oversight of the research; the development of a trial design or experimental research designs and other essential elements of the study or project, such as the protocol, recruitment strategies, and procedure manuals; and to collect feasibility data.",
160,Cooperative Agreements,U36,Program Improvements for Schools of Public Health,"In cooperation with the Associated Schools of Public Health, to stimulate improvements in the educational programs of schools of public health.",
161,Cooperative Agreements,U38,Uniform National Health Program Reporting System,"In cooperation with the States to operate a uniform national health program reporting system, which is to provide data for analytical purposes to assist health planners and health program managers in their decision-making processes.",
162,Cooperative Agreements,U41,Biotechnology Resource Cooperative Agreements,To support biotechnology resources available to all qualified investigators without regard to the scientific disciplines or disease orientations of their research activities or specifically directed to a categorical program area.,
102,Cooperative Agreements ,U42,"Animal (Mammalian and Nonmammalian) Model, and Animal and Biological Materials Resource Cooperative Agreements ","To develop and support animal (mammalian and nonmammalian) model, or animal or biological materials resources available to all qualified investigators without regard to the scientific disciplines or disease orientations of their research activities or specifically directed to a categorical program.  Nonmammalian resources include nonmammalian vertebrates, invertebrates, cell systems, and nonbiological systems.",
163,Cooperative Agreements,U43,Small Business Innovation Research (SBIR) Cooperative Agreements - Phase I,"To support projects, limited in time and amount, to establish the technical merit and feasibility of R&D ideas that may ultimately lead to commercial products or services.",http://grants.nih.gov/grants/funding/sbir.htm
103,Cooperative Agreements ,U44,Small Business Innovation Research (SBIR) Cooperative Agreements  - Phase II,To support in-depth development of R&D ideas whose feasibility has been established in Phase I and that are likely to result in commercial products or services.,http://grants.nih.gov/grants/funding/sbir.htm
104,Cooperative Agreements ,U45,Hazardous Waste Worker Health and Safety Training Cooperative Agreements (NIEHS),"To develop, implement, and evaluate programs to train workers who are or may be engaged in activities related to hazardous waste removal, containment, or emergency response.",
164,Cooperative Agreements,U47,Laboratory/Other Diagnostic Medical Quality Improvement Cooperative Agreements,"In cooperation with public or private health-related organizations, to establish data collection networks or other methods to increase the effectiveness of primary care physicians in determining the level and impact of problems in laboratory testing, or in other services for diagnosis of health problems, by determining what problems exist; how often problems occur; what impact these problems have on patient care, and what interventions can be developed to improve the disease testing or control process.",
165,Cooperative Agreements,U48,Health Promotion and Disease Prevention Research Centers,"In cooperation with schools of public health, medicine, or osteopathy, to establish and maintain interdisciplinary academic centers focused on health issues or themes of national importance and to promote translation of the results of the school’s research into improved public health practice.",
166,Cooperative Agreements,U49,Coop: Injury Control Res. and Demo and Injury Prevention,"<Long Text>In cooperation with public and private nonprofit and for-profit organizations to conduct research and demonstration projects as well as training programs to develop a comprehensive and integrated approach to injury control. This is to include those directed toward violence toward women, intimate partners, and youth. These projects will integrate aspects of the disciplines of engineering, public health, behavioral sciences, medicine, and others in order to prevent and control injuries.",
167,Cooperative Agreements,U50,Special Cooperative Investigations/Assessment of Control/Prevention Methods,"In cooperation with State or local government or other health-related organization, to perform special investigations of communicable diseases and other preventable health conditions, or to evaluate special methods of preventing disease or controlling health conditions.",
168,Cooperative Agreements,U51,Health Planning Strategies/National Academy of Sciences Activities,"Financial support for activities of interest to the Public Health Service, primarily, support for a series of Boards to oversee a variety of health and health administration topics.",
169,Cooperative Agreements,U52,Cooperative Agreement for Tuberculosis Control,"In cooperation with State and local health departments, to reduce the number of tuberculosis cases by case finding and follow-up of patient compliance with treatment.",
170,Cooperative Agreements,U53,Capacity Bldg: Occupational Safety/Community Environmental Health,In cooperation with State and local health departments to expand State capacities in the area of occupational safety and community environmental public health.,
105,Cooperative Agreements ,U54,Specialized Center--Cooperative Agreements,"To support any part of the full range of research and development from very basic to clinical; may involve ancillary supportive activities such as protracted patient care necessary to the primary research or R&D effort.  The spectrum of activities comprises a multidisciplinary attack on a specific disease entity or biomedical problem area.  These differ from program project in that they are usually developed in response to an announcement of the programmatic needs of an Institute or Division and subsequently receive continuous attention from its staff.  Centers may also serve as regional or national resources for special research purposes, with funding component staff helping to identify appropriate priority needs.",
171,Cooperative Agreements,U55,Core Support For American Council on Transplantation Active,(Definition not available),
106,Cooperative Agreements ,U56,Exploratory Grants--Cooperative Agreements,"To support planning for new programs, expansion or modification of existing resources, and feasibility studies to explore various to the development of interdisciplinary programs that offer potential solutions to problems of special significance to the mission of the NIH. These exploratory studies may lead to specialized or comprehensive centers. Substantial Federal programmatic staff involvement is intended to assist investigators during performance of the research activities, as defined in the terms and conditions of award.",
172,Cooperative Agreements,U57,State-Based Comprehensive Breast/Cervical Cancer Control Program Cooperative Agreements,"In cooperation with State and territorial health agencies, to develop comprehensive breast and cervical cancer control programs, increasing screening and follow-up among all groups of women in the State or territory, with special efforts to reach women who are of low income, uninsured, underinsured, minority, or Native American.",
173,Cooperative Agreements,U58,Chronic Disease Control Cooperative Agreement,In cooperation with State and local public health agencies and other public or private organizations to assist in controlling and preventing chronic diseases. Efforts are directed at the integrated application of surveillance; applied epidemiology; laboratory sciences; evaluation; health education; dynamic and productive relationships; training; and extensive applied management of effective disease control programs.,
174,Cooperative Agreements,U59,Disabilities Prevention Cooperative Agreement Program,"In cooperation with State and local agencies or private organizations, to conduct and evaluate interventions to prevent disabilities and to support demonstration and epidemiology programs for States in building capacity to coordinate disability prevention activities.",
175,Cooperative Agreements,U60,"Cooperative Agreements in Occupational Safety and Health Research, Demonstrations, Evaluation and Education Research, Demonstrations, Evaluation and Education","In cooperation with universities or other eligible recipients, to investigate the underlying characteristics and causes of occupational safety and health problems; to eliminate or control factors in the work environment which are harmful to the health and/or safety of workers, or to demonstrate effective solutions for occupational safety and health problems.",
176,Cooperative Agreements,U61,Preventive Health Activities Regarding Hazardous Substances,"In cooperation with State and local health authorities, to provide programs and activities designed to protect the public from exposure to hazardous substances, and to protect the worker from hazards associated with hazardous waste removal or other remedial response actions.",
177,Cooperative Agreements,U62,Prevention/Surveillance Activities/Studies of AIDS,"In cooperation with the State and local public health authorities and other non-profit organizations, to assist in detecting and preventing the further spread of AIDS through active surveillance and epidemiologic investigation, sero-prevalence surveys, laboratory services, public information campaigns, health education and risk reduction activities, and counseling, testing and partner notification.",
178,Cooperative Agreements,U65,"Minority/Other Community-based HIV Prevention Project, Cooperative Agreements","In cooperation with non-profit organizations based in communities most heavily affected by the HIV epidemic, to assist in achieving a reduction of the risk of HIV transmission through education programs.",
179,Cooperative Agreements,U66,Immunization Demonstration Projects Cooperative Agreements,"Provides financial assistance to State and local health agencies and other public and non-profit entities for (1) assessment of projects to develop methods/strategies to effectively assess preschool-age immunization protection at the State or county level and/or (2) intervention projects to develop innovative ways to successfully identify and vaccinate preschool-age children living in inner-city, high-disease morbidity areas.",
180,Cooperative Agreements,U75,National Cancer Registries Cooperative Agreements,"In cooperation with State health agencies or eligible academic or other nonprofit organizations, to establish a national program of cancer registries by supporting and enhancing existing State cancer registries so that they are statewide and population-based, and by planning, implementing, and supporting statewide population-based cancer registries where State registries do not currently exist.",
181,Cooperative Agreements,U79,Mental Health and/or Substance Abuse Services Cooperative Agreements,To support the provision of mental health and/or substance abuse prevention and treatment services. These are cooperative programs between participating principal investigators. Organizations and sponsoring Centers and where substantial programmatic involvement is planned to assist the recipient.,
182,Cooperative Agreements,U81,Injury Community Demonstration Projects: Evaluation of Youth Violence Prevention Program,"In cooperation with qualified recipients to design, implement, and determine the effectiveness of multifaceted, community-based youth violence prevention programs in reducing the incidence of interpersonal violent behavior and associated injuries and deaths.",
107,Cooperative Agreements ,U82,Enhancement of State and Local Capacity to Assess the Progress toward Healthy People 2010 Objectives,"In cooperation with State and local health agencies and Federally-recognized Indian Tribes, to increase the assessment capacity of State and local health agencies and to develop new surveillance models to measure currently underassessed conditions or populations.",
183,Cooperative Agreements,U83,Research to Advance the Understanding of the Health of Racial and Ethnic Populations or Subpopulations Cooperative Agreements,"In cooperation with public and private non-profit organizations, to advance the understanding of the health of racial and ethnic populations or subpopulations through 1) special studies and analyses to improve existing knowledge, and 2) improvements in existing research methodological techniques used to gather information on these groups.",
184,Cooperative Agreements,U84,Cooperative Agreements for Fetal Alcohol Syndrome Prevention Research Programs,"In cooperation with qualified recipients, to develop methods for identifying women at high risk for having children with Fetal Alcohol Syndrome or other adverse alcohol effects, to design primary prevention strategies for these women, and to rigorously evaluate the effectiveness of these strategies.",
185,Cooperative Agreements,U90,Cooperative Agreements for Special Projects of National Significance (SPNS),"In cooperation with State and local public health agencies and other public or private nonprofit entities, to conduct HIV service-related projects which meet the criteria for funding and target one of the specified priority areas. The primary purpose of the SPNS program is to contribute to the advancement of knowledge and skill in the delivery of health and support services to persons with HIV disease.",
142,Cooperative Agreements,UA1,AIDS Research Project Cooperative Agreement,"In cooperation with a named investigator, to support a discrete, specified, circumscribed project on Acquired Immune Deficiency Syndrome in an area representing the investigator's specific interest and competencies.",
221,Cooperative Agreements,UA5,Academic Research Enhancement Award (AREA) Cooperative Agreements,"Supports small-scale research projects at educational institutions that provide baccalaureate or advanced degrees for a significant number of the Nation's research scientists but that have not been major recipients of NIH support. The goals of the program are to (1) support meritorious research, (2) expose students to research, and (3) strengthen the research environment of the institution.  Awards provide limited Direct Costs, plus applicable F&A costs, for periods not to exceed 36 months. This activity code uses multi-year funding authority; however, OER approval is NOT needed prior to an IC using this activity code. This is the Cooperative Agreement companion to the R15 Activity Code.",
243,Cooperative Agreements,UB1,Commercialization Readiness Program – Cooperative Agreement ,"To support follow-on awards to small businesses for technology development, testing, evaluation, and commercialization assistance for SBIR or STTR Phase II technologies or for awards to small businesses to support the progress of research, research and development, and commercialization conducted under the SBIR or STTR programs to Phase III.",
